>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-5.80367e-11 	 0.1 	 -5.80367E-10 	 -1.289704E-05 	 2.222222E+04
2.50000e-01	6.77707e-08 	 0.1 	 6.77707E-07 	 1.506016E-02 	 2.222222E+04
5.00000e-01	1.36307e-07 	 0.1 	 1.36307E-06 	 3.029044E-02 	 2.222222E+04
7.50000e-01	2.07290e-07 	 0.1 	 2.0729E-06 	 4.606444E-02 	 2.222222E+04
1.00000e+00	2.82489e-07 	 0.1 	 2.82489E-06 	 6.277533E-02 	 2.222222E+04
1.25000e+00	3.59372e-07 	 0.1 	 3.59372E-06 	 7.986044E-02 	 2.222222E+04
1.50000e+00	4.39851e-07 	 0.1 	 4.39851E-06 	 9.774467E-02 	 2.222222E+04
1.75000e+00	5.23504e-07 	 0.1 	 5.23504E-06 	 1.163342E-01 	 2.222222E+04
2.00000e+00	6.03892e-07 	 0.1 	 6.03892E-06 	 1.341982E-01 	 2.222222E+04
2.25000e+00	6.93381e-07 	 0.1 	 6.93381E-06 	 1.540847E-01 	 2.222222E+04
2.50000e+00	7.80961e-07 	 0.1 	 7.80961E-06 	 1.735469E-01 	 2.222222E+04
2.75000e+00	8.68438e-07 	 0.1 	 8.68438E-06 	 1.929862E-01 	 2.222222E+04
3.00000e+00	9.59088e-07 	 0.1 	 9.59088E-06 	 2.131307E-01 	 2.222222E+04
3.25000e+00	1.04755e-06 	 0.1 	 1.04755E-05 	 2.327889E-01 	 2.222222E+04
3.50000e+00	1.13557e-06 	 0.1 	 1.13557E-05 	 2.523489E-01 	 2.222222E+04
3.75000e+00	1.23340e-06 	 0.1 	 1.2334E-05 	 2.740889E-01 	 2.222222E+04
4.00000e+00	1.32658e-06 	 0.1 	 1.32658E-05 	 2.947956E-01 	 2.222222E+04
4.25000e+00	1.42481e-06 	 0.1 	 1.42481E-05 	 3.166244E-01 	 2.222222E+04
4.50000e+00	1.52219e-06 	 0.1 	 1.52219E-05 	 3.382644E-01 	 2.222222E+04
4.75000e+00	1.62249e-06 	 0.1 	 1.62249E-05 	 3.605533E-01 	 2.222222E+04
5.00000e+00	1.73451e-06 	 0.1 	 1.73451E-05 	 3.854467E-01 	 2.222222E+04
5.25000e+00	1.85112e-06 	 0.1 	 1.85112E-05 	 4.1136E-01 	 2.222222E+04
5.50000e+00	1.97848e-06 	 0.1 	 1.97848E-05 	 4.396622E-01 	 2.222222E+04
5.75000e+00	2.11241e-06 	 0.1 	 2.11241E-05 	 4.694244E-01 	 2.222222E+04
6.00000e+00	2.24975e-06 	 1.1 	 2.045227E-06 	 4.999444E-01 	 2.444444E+05
6.25000e+00	2.42067e-06 	 1.1 	 2.200609E-06 	 5.379267E-01 	 2.444444E+05
6.50000e+00	2.60202e-06 	 1.1 	 2.365473E-06 	 5.782267E-01 	 2.444444E+05
6.75000e+00	2.82300e-06 	 2.1 	 1.344286E-06 	 6.273333E-01 	 4.666667E+05
7.00000e+00	3.07856e-06 	 3.1 	 9.930839E-07 	 6.841244E-01 	 6.888889E+05
7.25000e+00	3.37295e-06 	 4.1 	 8.226707E-07 	 7.495444E-01 	 9.111111E+05
7.50000e+00	3.69729e-06 	 5.1 	 7.249588E-07 	 8.2162E-01 	 1.133333E+06
