>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-3.66221e-10 	 0.1 	 -2.730592E+08 	 -8.138244E-05 	 2.222222E+04
2.50000e-01	6.14019e-08 	 0.1 	 1.628614E+06 	 1.364487E-02 	 2.222222E+04
5.00000e-01	1.30069e-07 	 0.1 	 7.688227E+05 	 2.890422E-02 	 2.222222E+04
7.50000e-01	2.16438e-07 	 0.1 	 4.620261E+05 	 4.809733E-02 	 2.222222E+04
1.00000e+00	3.18998e-07 	 0.1 	 3.134816E+05 	 7.088844E-02 	 2.222222E+04
1.25000e+00	4.23154e-07 	 0.1 	 2.363206E+05 	 9.403422E-02 	 2.222222E+04
1.50000e+00	5.44461e-07 	 0.1 	 1.836679E+05 	 1.209913E-01 	 2.222222E+04
1.75000e+00	6.71037e-07 	 0.1 	 1.490231E+05 	 1.491193E-01 	 2.222222E+04
2.00000e+00	8.21142e-07 	 0.1 	 1.217816E+05 	 1.82476E-01 	 2.222222E+04
2.25000e+00	9.87091e-07 	 0.1 	 1.013078E+05 	 2.193536E-01 	 2.222222E+04
2.50000e+00	1.14439e-06 	 0.1 	 8.73828E+04 	 2.543089E-01 	 2.222222E+04
2.75000e+00	1.34838e-06 	 0.1 	 7.416307E+04 	 2.9964E-01 	 2.222222E+04
3.00000e+00	2.87923e-05 	 0.1 	 3.473151E+03 	 6.398289E+00 	 2.222222E+04
3.25000e+00	2.84047e-05 	 0.1 	 3.520544E+03 	 6.312156E+00 	 2.222222E+04
3.50000e+00	3.02729e-06 	 0.1 	 3.303284E+04 	 6.727311E-01 	 2.222222E+04
3.75000e+00	2.68262e-06 	 0.1 	 3.727699E+04 	 5.961378E-01 	 2.222222E+04
4.00000e+00	3.06819e-06 	 0.1 	 3.259251E+04 	 6.8182E-01 	 2.222222E+04
4.25000e+00	3.27380e-06 	 0.1 	 3.054554E+04 	 7.275111E-01 	 2.222222E+04
4.50000e+00	3.89277e-06 	 0.1 	 2.568865E+04 	 8.6506E-01 	 2.222222E+04
4.75000e+00	4.06644e-06 	 0.1 	 2.459153E+04 	 9.036533E-01 	 2.222222E+04
5.00000e+00	4.81176e-06 	 0.1 	 2.078242E+04 	 1.06928E+00 	 2.222222E+04
5.25000e+00	8.92098e-06 	 0.1 	 1.120953E+04 	 1.98244E+00 	 2.222222E+04
5.50000e+00	6.21626e-06 	 0.1 	 1.608684E+04 	 1.381391E+00 	 2.222222E+04
5.75000e+00	6.59222e-06 	 0.1 	 1.51694E+04 	 1.464938E+00 	 2.222222E+04
6.00000e+00	7.47896e-06 	 1.1 	 1.470793E+05 	 1.661991E+00 	 2.444444E+05
6.25000e+00	8.74712e-06 	 1.1 	 1.257557E+05 	 1.943804E+00 	 2.444444E+05
6.50000e+00	1.05239e-05 	 2.1 	 1.995458E+05 	 2.338644E+00 	 4.666667E+05
6.75000e+00	1.05622e-05 	 2.1 	 1.988222E+05 	 2.347156E+00 	 4.666667E+05
7.00000e+00	1.22646e-05 	 3.1 	 2.5276E+05 	 2.725467E+00 	 6.888889E+05
7.25000e+00	1.42610e-05 	 4.1 	 2.874974E+05 	 3.169111E+00 	 9.111111E+05
7.50000e+00	1.59731e-05 	 5.1 	 3.192868E+05 	 3.549578E+00 	 1.133333E+06
7.75000e+00	1.86614e-05 	 7.1 	 3.804645E+05 	 4.146978E+00 	 1.577778E+06
8.00000e+00	2.18465e-05 	 9.1 	 4.165427E+05 	 4.854778E+00 	 2.022222E+06
8.25000e+00	2.55811e-05 	 12.1 	 4.730055E+05 	 5.684689E+00 	 2.688889E+06
8.50000e+00	2.95763e-05 	 16.1 	 5.443548E+05 	 6.572511E+00 	 3.577778E+06
8.75000e+00	3.34306e-05 	 20.1 	 6.012456E+05 	 7.429022E+00 	 4.466667E+06
9.00000e+00	3.83905e-05 	 25.1 	 6.538076E+05 	 8.531222E+00 	 5.577778E+06
9.25000e+00	4.33969e-05 	 32.2 	 7.419885E+05 	 9.643756E+00 	 7.155556E+06
9.50000e+00	5.06991e-05 	 40.2 	 7.929135E+05 	 1.126647E+01 	 8.933333E+06
9.75000e+00	5.74878e-05 	 49.2 	 8.558338E+05 	 1.277507E+01 	 1.093333E+07
1.00000e+01	6.82233e-05 	 61.2 	 8.970542E+05 	 1.516073E+01 	 1.36E+07
1.02500e+01	7.78528e-05 	 74.3 	 9.543652E+05 	 1.730062E+01 	 1.651111E+07
1.05000e+01	8.86042e-05 	 91.3 	 1.030425E+06 	 1.968982E+01 	 2.028889E+07
1.07500e+01	1.07006e-04 	 108.4 	 1.013027E+06 	 2.377911E+01 	 2.408889E+07
1.10000e+01	1.20558e-04 	 130.4 	 1.081637E+06 	 2.679067E+01 	 2.897778E+07
1.12500e+01	1.35422e-04 	 155.5 	 1.148262E+06 	 3.009378E+01 	 3.455556E+07
1.15000e+01	1.53299e-04 	 183.6 	 1.197659E+06 	 3.406644E+01 	 4.08E+07
1.17500e+01	1.78291e-04 	 215.7 	 1.20982E+06 	 3.962022E+01 	 4.793333E+07
1.20000e+01	2.01606e-04 	 252.8 	 1.253931E+06 	 4.480133E+01 	 5.617778E+07
1.20000e+01	2.04618e-04 	 246.8 	 1.20615E+06 	 4.547067E+01 	 5.484444E+07
1.17500e+01	1.80000e-04 	 201.6 	 1.12E+06 	 4E+01 	 4.48E+07
1.15000e+01	1.58065e-04 	 164.5 	 1.040711E+06 	 3.512556E+01 	 3.655556E+07
1.12500e+01	1.39812e-04 	 134.4 	 9.612909E+05 	 3.106933E+01 	 2.986667E+07
1.10000e+01	1.23139e-04 	 108.4 	 8.80306E+05 	 2.736422E+01 	 2.408889E+07
1.07500e+01	1.08761e-04 	 88.3 	 8.118719E+05 	 2.416911E+01 	 1.962222E+07
1.05000e+01	9.61488e-05 	 70.3 	 7.311584E+05 	 2.13664E+01 	 1.562222E+07
