V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
3.50000e+00 1.45786e-06 0.1 1.45786E-05 3.239689E-01 2.222222E+04
3.25000e+00 1.28778e-06 0.1 1.28778E-05 2.861733E-01 2.222222E+04
3.00000e+00 1.11126e-06 0.1 1.11126E-05 2.469467E-01 2.222222E+04
2.75000e+00 1.01632e-06 0.1 1.01632E-05 2.258489E-01 2.222222E+04
2.50000e+00 8.72047e-07 0.1 8.72047E-06 1.937882E-01 2.222222E+04
2.25000e+00 7.44772e-07 0.1 7.44772E-06 1.655049E-01 2.222222E+04
2.00000e+00 6.32054e-07 0.1 6.32054E-06 1.404564E-01 2.222222E+04
1.75000e+00 5.27401e-07 0.1 5.27401E-06 1.172002E-01 2.222222E+04
1.50000e+00 4.37501e-07 0.1 4.37501E-06 9.722244E-02 2.222222E+04
1.25000e+00 3.42196e-07 0.1 3.42196E-06 7.604356E-02 2.222222E+04
1.00000e+00 2.69473e-07 0.1 2.69473E-06 5.988289E-02 2.222222E+04
7.50000e-01 1.96316e-07 0.1 1.96316E-06 4.362578E-02 2.222222E+04
5.00000e-01 1.29142e-07 0.1 1.29142E-06 2.869822E-02 2.222222E+04
2.50000e-01 6.34281e-08 0.1 6.34281E-07 1.409513E-02 2.222222E+04
0.00000e+00 -1.30675e-09 0.1 -1.30675E-08 -2.903889E-04 2.222222E+04
     
