V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
5.50000e+00 4.81716e-06 0.1 4.81716E-05 1.07048E+00 2.222222E+04
5.00000e+00 4.05873e-06 0.1 4.05873E-05 9.0194E-01 2.222222E+04
4.50000e+00 3.42607e-06 0.1 3.42607E-05 7.613489E-01 2.222222E+04
4.00000e+00 2.85235e-06 0.1 2.85235E-05 6.338556E-01 2.222222E+04
3.50000e+00 2.34854e-06 0.1 2.34854E-05 5.218978E-01 2.222222E+04
3.00000e+00 1.90063e-06 0.1 1.90063E-05 4.223622E-01 2.222222E+04
2.50000e+00 1.51547e-06 0.1 1.51547E-05 3.367711E-01 2.222222E+04
2.00000e+00 1.16838e-06 0.1 1.16838E-05 2.5964E-01 2.222222E+04
1.50000e+00 8.38607e-07 0.1 8.38607E-06 1.863571E-01 2.222222E+04
1.00000e+00 5.39897e-07 0.1 5.39897E-06 1.199771E-01 2.222222E+04
5.00000e-01 2.60264e-07 0.1 2.60264E-06 5.783644E-02 2.222222E+04
0.00000e+00 -2.89043e-10 0.1 -2.89043E-09 -6.423178E-05 2.222222E+04
     
