>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
1.25000e+01	1.49224e-05 	 0.1 	 1.49224E-04 	 3.316089E+00 	 2.222222E+04
1.20000e+01	1.44996e-05 	 0.1 	 1.44996E-04 	 3.222133E+00 	 2.222222E+04
1.15000e+01	1.34641e-05 	 0.1 	 1.34641E-04 	 2.992022E+00 	 2.222222E+04
1.10000e+01	1.23009e-05 	 0.1 	 1.23009E-04 	 2.733533E+00 	 2.222222E+04
1.05000e+01	9.41971e-06 	 0.1 	 9.41971E-05 	 2.093269E+00 	 2.222222E+04
1.00000e+01	2.78749e-05 	 0.1 	 2.78749E-04 	 6.194422E+00 	 2.222222E+04
9.50000e+00	8.77250e-05 	 0.1 	 8.7725E-04 	 1.949444E+01 	 2.222222E+04
9.00000e+00	2.02215e-04 	 0.1 	 2.02215E-03 	 4.493667E+01 	 2.222222E+04
8.50000e+00	1.89300e-04 	 0.1 	 1.893E-03 	 4.206667E+01 	 2.222222E+04
8.00000e+00	2.35921e-04 	 0.1 	 2.35921E-03 	 5.242689E+01 	 2.222222E+04
7.50000e+00	2.72919e-04 	 0.1 	 2.72919E-03 	 6.064867E+01 	 2.222222E+04
7.00000e+00	3.53871e-04 	 0.1 	 3.53871E-03 	 7.8638E+01 	 2.222222E+04
6.50000e+00	2.96632e-04 	 0.1 	 2.96632E-03 	 6.591822E+01 	 2.222222E+04
6.00000e+00	2.51685e-04 	 8.3 	 3.032349E-05 	 5.593E+01 	 1.844444E+06
5.50000e+00	2.78837e-04 	 11.4 	 2.445939E-05 	 6.196378E+01 	 2.533333E+06
5.00000e+00	2.76834e-04 	 10.4 	 2.661865E-05 	 6.151867E+01 	 2.311111E+06
4.50000e+00	3.02130e-04 	 33.9 	 8.912389E-06 	 6.714E+01 	 7.533333E+06
4.00000e+00	2.89696e-04 	 41.11 	 7.04685E-06 	 6.437689E+01 	 9.135556E+06
3.50000e+00	3.06694e-04 	 45.12 	 6.797296E-06 	 6.815422E+01 	 1.002667E+07
3.00000e+00	4.08226e-04 	 46.13 	 8.849469E-06 	 9.071689E+01 	 1.025111E+07
2.50000e+00	3.26398e-04 	 46.13 	 7.075612E-06 	 7.253289E+01 	 1.025111E+07
2.00000e+00	-5.76477e-10 	 46.13 	 -1.249679E-11 	 -1.28106E-04 	 1.025111E+07
1.50000e+00	-4.77133e-10 	 43.12 	 -1.106524E-11 	 -1.060296E-04 	 9.582222E+06
1.00000e+00	1.04224e-04 	 45.13 	 2.309417E-06 	 2.316089E+01 	 1.002889E+07
5.00000e-01	3.80794e-05 	 44.13 	 8.628915E-07 	 8.462089E+00 	 9.806667E+06
0.00000e+00	-1.98121e-09 	 44.13 	 -4.489486E-11 	 -4.402689E-04 	 9.806667E+06
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_F5_MB924_P2_oled_002.txt
