>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
9.00000e+00	4.48140e-05 	 13.1 	 2.923194E+05 	 9.958667E+00 	 2.911111E+06
9.00000e+00	4.22911e-05 	 13.1 	 3.097578E+05 	 9.398022E+00 	 2.911111E+06
9.00000e+00	5.29025e-05 	 12.1 	 2.287227E+05 	 1.175611E+01 	 2.688889E+06
9.00000e+00	4.30885e-05 	 12.1 	 2.808174E+05 	 9.575222E+00 	 2.688889E+06
9.00000e+00	4.81005e-05 	 12.1 	 2.515566E+05 	 1.0689E+01 	 2.688889E+06
9.00000e+00	5.55964e-05 	 12.1 	 2.1764E+05 	 1.235476E+01 	 2.688889E+06
9.00000e+00	4.69633e-05 	 12.1 	 2.57648E+05 	 1.043629E+01 	 2.688889E+06
9.00000e+00	4.47282e-05 	 12.1 	 2.705228E+05 	 9.9396E+00 	 2.688889E+06
9.00000e+00	4.32340e-05 	 12.1 	 2.798723E+05 	 9.607556E+00 	 2.688889E+06
9.00000e+00	4.07321e-05 	 12.1 	 2.97063E+05 	 9.051578E+00 	 2.688889E+06
9.00000e+00	4.95287e-05 	 12.1 	 2.443028E+05 	 1.100638E+01 	 2.688889E+06
9.00000e+00	4.32114e-05 	 12.1 	 2.800187E+05 	 9.602533E+00 	 2.688889E+06
9.00000e+00	3.99005e-05 	 12.1 	 3.032543E+05 	 8.866778E+00 	 2.688889E+06
9.00000e+00	4.24058e-05 	 12.1 	 2.853383E+05 	 9.423511E+00 	 2.688889E+06
9.00000e+00	4.00194e-05 	 12.1 	 3.023534E+05 	 8.8932E+00 	 2.688889E+06
9.00000e+00	4.02611e-05 	 12.1 	 3.005382E+05 	 8.946911E+00 	 2.688889E+06
9.00000e+00	4.66088e-05 	 12.1 	 2.596076E+05 	 1.035751E+01 	 2.688889E+06
9.00000e+00	4.48499e-05 	 12.1 	 2.697888E+05 	 9.966644E+00 	 2.688889E+06
9.00000e+00	4.27097e-05 	 12.1 	 2.83308E+05 	 9.491044E+00 	 2.688889E+06
9.00000e+00	4.36173e-05 	 12.1 	 2.774129E+05 	 9.692733E+00 	 2.688889E+06
9.00000e+00	4.44454e-05 	 12.1 	 2.722441E+05 	 9.876756E+00 	 2.688889E+06
9.00000e+00	4.39242e-05 	 12.1 	 2.754746E+05 	 9.760933E+00 	 2.688889E+06
9.00000e+00	4.39439e-05 	 12.1 	 2.753511E+05 	 9.765311E+00 	 2.688889E+06
9.00000e+00	4.38625e-05 	 12.1 	 2.758621E+05 	 9.747222E+00 	 2.688889E+06
9.00000e+00	4.61611e-05 	 12.1 	 2.621255E+05 	 1.025802E+01 	 2.688889E+06
9.00000e+00	4.47972e-05 	 12.1 	 2.701062E+05 	 9.954933E+00 	 2.688889E+06
9.00000e+00	4.54939e-05 	 12.1 	 2.659697E+05 	 1.010976E+01 	 2.688889E+06
9.00000e+00	5.08645e-05 	 12.1 	 2.378869E+05 	 1.130322E+01 	 2.688889E+06
9.00000e+00	4.48466e-05 	 12.1 	 2.698086E+05 	 9.965911E+00 	 2.688889E+06
9.00000e+00	4.31176e-05 	 12.1 	 2.806279E+05 	 9.581689E+00 	 2.688889E+06
9.00000e+00	4.46267e-05 	 12.1 	 2.711381E+05 	 9.917044E+00 	 2.688889E+06
9.00000e+00	3.93394e-05 	 12.1 	 3.075797E+05 	 8.742089E+00 	 2.688889E+06
9.00000e+00	3.77896e-05 	 12.1 	 3.201939E+05 	 8.397689E+00 	 2.688889E+06
9.00000e+00	4.08561e-05 	 12.1 	 2.961614E+05 	 9.079133E+00 	 2.688889E+06
9.00000e+00	4.32602e-05 	 12.1 	 2.797028E+05 	 9.613378E+00 	 2.688889E+06
9.00000e+00	4.12997e-05 	 12.1 	 2.929803E+05 	 9.177711E+00 	 2.688889E+06
9.00000e+00	4.00860e-05 	 12.1 	 3.01851E+05 	 8.908E+00 	 2.688889E+06
9.00000e+00	4.11822e-05 	 12.1 	 2.938163E+05 	 9.1516E+00 	 2.688889E+06
9.00000e+00	4.09447e-05 	 12.1 	 2.955205E+05 	 9.098822E+00 	 2.688889E+06
9.00000e+00	4.08913e-05 	 12.1 	 2.959065E+05 	 9.086956E+00 	 2.688889E+06
9.00000e+00	4.13699e-05 	 12.1 	 2.924832E+05 	 9.193311E+00 	 2.688889E+06
9.00000e+00	4.06073e-05 	 12.1 	 2.97976E+05 	 9.023844E+00 	 2.688889E+06
9.00000e+00	4.32801e-05 	 12.1 	 2.795742E+05 	 9.6178E+00 	 2.688889E+06
9.00000e+00	4.04963e-05 	 12.1 	 2.987927E+05 	 8.999178E+00 	 2.688889E+06
9.00000e+00	4.22395e-05 	 12.1 	 2.864617E+05 	 9.386556E+00 	 2.688889E+06
9.00000e+00	4.44350e-05 	 12.1 	 2.723079E+05 	 9.874444E+00 	 2.688889E+06
9.00000e+00	4.70433e-05 	 12.1 	 2.572098E+05 	 1.045407E+01 	 2.688889E+06
9.00000e+00	4.22796e-05 	 12.1 	 2.8619E+05 	 9.395467E+00 	 2.688889E+06
9.00000e+00	4.16717e-05 	 12.1 	 2.903649E+05 	 9.260378E+00 	 2.688889E+06
9.00000e+00	4.06874e-05 	 12.1 	 2.973894E+05 	 9.041644E+00 	 2.688889E+06
9.00000e+00	4.31854e-05 	 12.1 	 2.801873E+05 	 9.596756E+00 	 2.688889E+06
9.00000e+00	4.58223e-05 	 12.1 	 2.640636E+05 	 1.018273E+01 	 2.688889E+06
9.00000e+00	4.44856e-05 	 12.1 	 2.719981E+05 	 9.885689E+00 	 2.688889E+06
9.00000e+00	4.56748e-05 	 12.1 	 2.649163E+05 	 1.014996E+01 	 2.688889E+06
9.00000e+00	4.85807e-05 	 12.1 	 2.490701E+05 	 1.079571E+01 	 2.688889E+06
9.00000e+00	4.49307e-05 	 12.1 	 2.693036E+05 	 9.9846E+00 	 2.688889E+06
9.00000e+00	4.60687e-05 	 12.1 	 2.626512E+05 	 1.023749E+01 	 2.688889E+06
9.00000e+00	4.64302e-05 	 12.1 	 2.606062E+05 	 1.031782E+01 	 2.688889E+06
9.00000e+00	4.25327e-05 	 12.1 	 2.84487E+05 	 9.451711E+00 	 2.688889E+06
9.00000e+00	4.06471e-05 	 12.1 	 2.976842E+05 	 9.032689E+00 	 2.688889E+06
9.00000e+00	4.22632e-05 	 12.1 	 2.863011E+05 	 9.391822E+00 	 2.688889E+06
9.00000e+00	4.13223e-05 	 12.1 	 2.928201E+05 	 9.182733E+00 	 2.688889E+06
9.00000e+00	4.50904e-05 	 12.1 	 2.683498E+05 	 1.002009E+01 	 2.688889E+06
9.00000e+00	4.52365e-05 	 11.1 	 2.453771E+05 	 1.005256E+01 	 2.466667E+06
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_ltp_058.txt
