V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -1.15902e-08 0.1 -86279.788 1.00000e+01 1.10152e-02 0.0 0.0
5.00000e-01 1.11674e-04 0.1 8.955 9.50000e+00 8.56057e-03 251.13 293.357
1.00000e+00 3.68881e-05 0.1 27.109 9.00000e+00 6.32525e-03 124.7 197.146
1.50000e+00 5.20010e-05 0.1 19.23 8.50000e+00 4.43478e-03 85.5 192.794
2.00000e+00 2.48920e-04 0.1 4.017 8.00000e+00 2.98990e-03 55.4 185.29
2.50000e+00 1.76890e-04 0.1 5.653 7.50000e+00 1.82893e-03 33.3 182.074
3.00000e+00 3.56792e-04 0.1 2.803 7.00000e+00 1.13287e-03 18.2 160.654
3.50000e+00 4.27790e-04 0.1 2.338 6.50000e+00 6.74280e-04 9.1 134.959
4.00000e+00 4.19969e-04 0.1 2.381 6.00000e+00 3.37737e-04 4.1 121.396
4.50000e+00 2.90165e-04 0.1 3.446 5.50000e+00 2.41389e-04 2.1 86.997
5.00000e+00 2.50680e-04 0.1 3.989 5.00000e+00 2.05904e-04 0.1 4.857
5.50000e+00 3.93040e-04 1.1 27.987 4.50000e+00 2.82323e-04 0.1 3.542
6.00000e+00 5.31320e-04 4.1 77.166 4.00000e+00 1.89391e-02 0.1 0.053
6.50000e+00 7.02154e-04 10.1 143.843 3.50000e+00 1.63693e-02 0.1 0.061
7.00000e+00 1.18801e-03 20.2 170.032 3.00000e+00 1.38922e-02 0.1 0.072
7.50000e+00 2.05222e-03 35.3 172.009 2.50000e+00 1.13695e-02 0.1 0.088
8.00000e+00 3.21501e-03 58.4 181.648 2.00000e+00 8.86494e-03 0.1 0.113
8.50000e+00 4.66465e-03 93.5 200.444 1.50000e+00 6.33705e-03 0.1 0.158
9.00000e+00 6.39023e-03 185.1 289.661 1.00000e+00 3.98534e-03 0.1 0.251
9.50000e+00 8.43960e-03 226.12 267.927 5.00000e-01 1.85594e-03 0.1 0.539
1.00000e+01 1.09156e-02 272.14 249.313 0.00000e+00 -2.97077e-07 0.1 -3366.131
