>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 11.0
0.00000e+00	1.72476e-07	2.49704e-07	5.00000e+00 	 11.0
5.00000e+00	8.27045e-02	8.29174e-02	5.00000e+00 	 11.0
1.00000e+01	9.99976e-02	9.99978e-02	5.00000e+00 	 11.0
1.50000e+01	9.99988e-02	9.99989e-02	5.00000e+00 	 11.0
2.00000e+01	9.99987e-02	9.99988e-02	5.00000e+00 	 11.0
>>head<<VGS(20) IDS(20) IGS(20) VDS(20) 	 12.0
2.00000e+01	9.99990e-02	9.99990e-02	-5.00000e+00 	 12.0
1.50000e+01	9.99988e-02	9.99989e-02	-5.00000e+00 	 12.0
1.00000e+01	9.99986e-02	9.99987e-02	-5.00000e+00 	 11.0
5.00000e+00	7.86947e-02	7.88792e-02	-5.00000e+00 	 10.0
0.00000e+00	-2.25393e-07	-3.10182e-07	-5.00000e+00 	 9.0
>>END<< 	 11.0
