V(0) I(0) lux CurrCoeff.
0.00000e+00 -4.93239e-10 0.1 -2027414.702
5.00000e-01 1.31024e-08 0.1 76321.895
1.00000e+00 3.40751e-08 0.1 29346.942
1.50000e+00 1.45939e-07 0.1 6852.178
2.00000e+00 1.79014e-07 0.1 5586.155
2.50000e+00 2.06386e-07 0.1 4845.29
3.00000e+00 3.37278e-07 0.1 2964.913
3.50000e+00 8.09667e-07 0.1 1235.076
4.00000e+00 2.45943e-06 0.1 406.598
4.50000e+00 6.48487e-06 0.1 154.205
5.00000e+00 1.46134e-05 0.1 68.43
5.50000e+00 2.86908e-05 1.1 383.398
6.00000e+00 5.07308e-05 1.1 216.831
6.50000e+00 8.23660e-05 1.1 133.55
7.00000e+00 1.25650e-04 2.1 167.131
7.50000e+00 1.83205e-04 3.1 169.209
8.00000e+00 2.53951e-04 4.1 161.448
8.50000e+00 3.38730e-04 5.1 150.562
9.00000e+00 4.41125e-04 7.1 160.952
9.50000e+00 5.82079e-04 12.2 209.594
1.00000e+01 9.22684e-04 102.7 1113.057
