>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
4.60000e-05	1.00376e-03 	 0 	 0E+00 	 2.230578E+02	0E+00
7.04740e-02	1.00111e-03 	 0 	 0E+00 	 2.224689E+02	0E+00
1.40879e-01	1.00026e-03 	 0 	 0E+00 	 2.2228E+02	0E+00
2.11253e-01	1.00019e-03 	 0 	 0E+00 	 2.222644E+02	0E+00
2.81591e-01	1.00017e-03 	 0 	 0E+00 	 2.2226E+02	0E+00
3.51957e-01	1.00017e-03 	 0 	 0E+00 	 2.2226E+02	0E+00
4.22304e-01	1.00020e-03 	 0 	 0E+00 	 2.222667E+02	0E+00
4.92654e-01	1.00020e-03 	 0 	 0E+00 	 2.222667E+02	0E+00
5.63010e-01	1.00020e-03 	 0 	 0E+00 	 2.222667E+02	0E+00
6.33359e-01	1.00021e-03 	 0 	 0E+00 	 2.222689E+02	0E+00
7.03683e-01	1.00021e-03 	 0 	 0E+00 	 2.222689E+02	0E+00
7.74037e-01	1.00022e-03 	 0 	 0E+00 	 2.222711E+02	0E+00
8.44389e-01	1.00022e-03 	 0 	 0E+00 	 2.222711E+02	0E+00
9.14722e-01	1.00022e-03 	 0 	 0E+00 	 2.222711E+02	0E+00
9.85067e-01	1.00018e-03 	 0 	 0E+00 	 2.222622E+02	0E+00
1.05540e+00	1.00015e-03 	 0 	 0E+00 	 2.222556E+02	0E+00
1.12575e+00	1.00019e-03 	 0 	 0E+00 	 2.222644E+02	0E+00
1.19609e+00	1.00018e-03 	 0 	 0E+00 	 2.222622E+02	0E+00
1.30669e+00	1.00013e-03 	 0 	 0E+00 	 2.222511E+02	0E+00
1.37704e+00	1.00014e-03 	 0 	 0E+00 	 2.222533E+02	0E+00
1.44737e+00	1.00016e-03 	 0 	 0E+00 	 2.222578E+02	0E+00
1.51772e+00	1.00015e-03 	 0 	 0E+00 	 2.222556E+02	0E+00
1.58808e+00	1.00019e-03 	 0 	 0E+00 	 2.222644E+02	0E+00
1.65840e+00	1.00017e-03 	 0 	 0E+00 	 2.2226E+02	0E+00
1.72875e+00	1.00020e-03 	 0 	 0E+00 	 2.222667E+02	0E+00
1.79909e+00	1.00017e-03 	 0 	 0E+00 	 2.2226E+02	0E+00
1.86944e+00	1.00017e-03 	 0 	 0E+00 	 2.2226E+02	0E+00
1.93978e+00	1.00021e-03 	 0 	 0E+00 	 2.222689E+02	0E+00
