>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.86194e-11 	 0.1	-25893721.808
5.00000e-01	3.84450e-07 	 0.1	2601.118
1.00000e+00	1.71068e-06 	 0.1	584.563
1.50000e+00	4.95281e-06 	 0.1	201.906
2.00000e+00	1.18263e-05 	 0.1	84.557
2.50000e+00	2.39912e-05 	 0.1	41.682
3.00000e+00	4.45771e-05 	 0.1	22.433
3.50000e+00	7.38148e-05 	 0.1	13.547
4.00000e+00	1.05504e-04 	 0.1	9.478
4.50000e+00	1.41509e-04 	 0.1	7.067
5.00000e+00	2.92059e-04 	 0.1	3.424
5.50000e+00	4.87240e-04 	 0.1	2.052
6.00000e+00	1.95884e-04 	 0.1	5.105
6.50000e+00	2.43521e-05 	 0.1	41.064
7.00000e+00	3.60287e-05 	 0.1	27.756
7.50000e+00	5.27305e-05 	 0.1	18.964
8.00000e+00	7.55789e-05 	 1.1	145.543
8.50000e+00	1.06336e-04 	 1.1	103.446
9.00000e+00	1.47151e-04 	 2.1	142.711
9.50000e+00	2.00614e-04 	 3.1	154.526
1.00000e+01	2.68578e-04 	 4.1	152.656
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	2.80894e-04 	 0.0	0.0
9.50000e+00	2.10339e-04 	 4.1	194.923
9.00000e+00	1.54704e-04 	 3.1	200.383
8.50000e+00	1.11505e-04 	 0.0	0.0
8.00000e+00	7.85368e-05 	 1.1	140.062
7.50000e+00	5.41293e-05 	 1.1	203.217
7.00000e+00	3.63724e-05 	 0.1	27.493
6.50000e+00	2.35591e-05 	 15.4	6536.752
6.00000e+00	1.46876e-05 	 58.13	39577.603
5.50000e+00	8.86250e-06 	 58.13	65590.973
5.00000e+00	5.27075e-06 	 59.13	112185.173
4.50000e+00	3.12891e-06 	 59.13	188979.549
4.00000e+00	2.02091e-06 	 59.13	292590.961
3.50000e+00	1.41215e-06 	 59.13	418723.223
3.00000e+00	1.02382e-06 	 59.13	577542.927
2.50000e+00	7.90415e-07 	 60.13	760739.611
2.00000e+00	5.05108e-07 	 61.13	1210236.227
1.50000e+00	2.90037e-07 	 60.14	2073528.55
1.00000e+00	1.36205e-07 	 59.14	4341984.509
5.00000e-01	6.84981e-08 	 51.12	7462980.725
0.00000e+00	-1.22035e-08 	 69.13	-56647683.042
