>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
1.00000e-01	1.23954e-13 	 0 	 0E+00 	 2.754533E-08 	 0E+00
2.00000e-01	8.55207e-14 	 0 	 0E+00 	 1.90046E-08 	 0E+00
3.00000e-01	8.04663e-14 	 0 	 0E+00 	 1.78814E-08 	 0E+00
4.00000e-01	7.87377e-14 	 0 	 0E+00 	 1.749727E-08 	 0E+00
5.00000e-01	7.88450e-14 	 0 	 0E+00 	 1.752111E-08 	 0E+00
6.00000e-01	8.97050e-14 	 0 	 0E+00 	 1.993444E-08 	 0E+00
7.00000e-01	9.03010e-14 	 0 	 0E+00 	 2.006689E-08 	 0E+00
8.00000e-01	1.06895e-13 	 0 	 0E+00 	 2.375444E-08 	 0E+00
9.00000e-01	1.18709e-13 	 0 	 0E+00 	 2.637978E-08 	 0E+00
1.00000e+00	-2.43485e-13 	 0 	 -0E+00 	 -5.410778E-08 	 0E+00
1.10000e+00	2.60425e-13 	 0 	 0E+00 	 5.787222E-08 	 0E+00
1.00000e+00	1.78921e-13 	 0 	 0E+00 	 3.976022E-08 	 0E+00
9.00000e-01	-4.32253e-14 	 0 	 -0E+00 	 -9.605622E-09 	 0E+00
8.00000e-01	1.17815e-13 	 0 	 0E+00 	 2.618111E-08 	 0E+00
7.00000e-01	1.68431e-13 	 0 	 0E+00 	 3.742911E-08 	 0E+00
6.00000e-01	-7.27177e-16 	 0 	 -0E+00 	 -1.615949E-10 	 0E+00
5.00000e-01	2.52056e-13 	 0 	 0E+00 	 5.601244E-08 	 0E+00
4.00000e-01	6.68645e-14 	 0 	 0E+00 	 1.485878E-08 	 0E+00
3.00000e-01	-4.73619e-14 	 0 	 -0E+00 	 -1.052487E-08 	 0E+00
2.00000e-01	1.07384e-13 	 0 	 0E+00 	 2.386311E-08 	 0E+00
1.00000e-01	8.34465e-13 	 0 	 0E+00 	 1.854367E-07 	 0E+00
2.77556e-17	-1.54519e-13 	 0 	 -0E+00 	 -3.433756E-08 	 0E+00
-1.00000e-01	-2.34842e-15 	 0 	 -0E+00 	 -5.218711E-10 	 0E+00
-2.00000e-01	1.18613e-13 	 0 	 0E+00 	 2.635844E-08 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_107.txt
