>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
2.50000e-01	1.31252e-07 	 11.6 	 8.837961E+07 	 2.916711E-02 	 2.577778E+06
5.00000e-01	2.93531e-07 	 11.6 	 3.951882E+07 	 6.522911E-02 	 2.577778E+06
7.50000e-01	6.08148e-07 	 11.6 	 1.90743E+07 	 1.35144E-01 	 2.577778E+06
1.00000e+00	1.34033e-06 	 11.6 	 8.654585E+06 	 2.978511E-01 	 2.577778E+06
1.25000e+00	2.19582e-06 	 11.6 	 5.282765E+06 	 4.8796E-01 	 2.577778E+06
1.50000e+00	3.03372e-06 	 11.6 	 3.823688E+06 	 6.7416E-01 	 2.577778E+06
1.75000e+00	4.12058e-06 	 11.6 	 2.815138E+06 	 9.156844E-01 	 2.577778E+06
2.00000e+00	5.27082e-06 	 11.6 	 2.200796E+06 	 1.171293E+00 	 2.577778E+06
2.25000e+00	6.55916e-06 	 11.6 	 1.768519E+06 	 1.457591E+00 	 2.577778E+06
2.50000e+00	7.20924e-06 	 11.6 	 1.609046E+06 	 1.602053E+00 	 2.577778E+06
2.75000e+00	9.68159e-06 	 11.6 	 1.19815E+06 	 2.151464E+00 	 2.577778E+06
3.00000e+00	3.91986e-05 	 10.6 	 2.704178E+05 	 8.7108E+00 	 2.355556E+06
3.25000e+00	4.48364e-05 	 10.6 	 2.364151E+05 	 9.963644E+00 	 2.355556E+06
3.50000e+00	5.06475e-05 	 9.5 	 1.87571E+05 	 1.1255E+01 	 2.111111E+06
3.75000e+00	1.10322e-04 	 9.5 	 8.611156E+04 	 2.4516E+01 	 2.111111E+06
4.00000e+00	2.83342e-04 	 8.5 	 2.999908E+04 	 6.296489E+01 	 1.888889E+06
4.25000e+00	1.04786e-04 	 8.5 	 8.111771E+04 	 2.328578E+01 	 1.888889E+06
4.50000e+00	1.03292e-04 	 7.4 	 7.164156E+04 	 2.295378E+01 	 1.644444E+06
4.75000e+00	1.31657e-04 	 7.4 	 5.620666E+04 	 2.925711E+01 	 1.644444E+06
5.00000e+00	9.21980e-05 	 6.4 	 6.941582E+04 	 2.048844E+01 	 1.422222E+06
5.25000e+00	9.52371e-05 	 6.4 	 6.72007E+04 	 2.11638E+01 	 1.422222E+06
5.50000e+00	6.61021e-05 	 5.3 	 8.0179E+04 	 1.468936E+01 	 1.177778E+06
5.75000e+00	4.66765e-05 	 4.3 	 9.212345E+04 	 1.037256E+01 	 9.555556E+05
6.00000e+00	5.67752e-05 	 2.2 	 3.874931E+04 	 1.261671E+01 	 4.888889E+05
6.25000e+00	5.49735e-05 	 2.2 	 4.001928E+04 	 1.221633E+01 	 4.888889E+05
6.50000e+00	5.25724e-05 	 2.1 	 3.994491E+04 	 1.168276E+01 	 4.666667E+05
6.75000e+00	8.55172e-05 	 2.1 	 2.455646E+04 	 1.900382E+01 	 4.666667E+05
7.00000e+00	8.20425e-05 	 2.1 	 2.559649E+04 	 1.823167E+01 	 4.666667E+05
7.25000e+00	5.60298e-05 	 2.1 	 3.748006E+04 	 1.245107E+01 	 4.666667E+05
7.50000e+00	6.50295e-05 	 2.1 	 3.229304E+04 	 1.4451E+01 	 4.666667E+05
7.75000e+00	6.07634e-05 	 2.1 	 3.456028E+04 	 1.350298E+01 	 4.666667E+05
8.00000e+00	7.21737e-05 	 3.1 	 4.295193E+04 	 1.60386E+01 	 6.888889E+05
8.25000e+00	6.92553e-05 	 4.1 	 5.920125E+04 	 1.539007E+01 	 9.111111E+05
8.50000e+00	6.40838e-05 	 5.1 	 7.95833E+04 	 1.424084E+01 	 1.133333E+06
8.75000e+00	6.68053e-05 	 7.1 	 1.06279E+05 	 1.484562E+01 	 1.577778E+06
9.00000e+00	5.27443e-05 	 9.1 	 1.725305E+05 	 1.172096E+01 	 2.022222E+06
9.25000e+00	5.85379e-05 	 11.1 	 1.896207E+05 	 1.300842E+01 	 2.466667E+06
9.50000e+00	5.70057e-05 	 15.1 	 2.648858E+05 	 1.266793E+01 	 3.355556E+06
9.75000e+00	5.95092e-05 	 19.1 	 3.209588E+05 	 1.322427E+01 	 4.244444E+06
1.00000e+01	7.19323e-05 	 24.2 	 3.364274E+05 	 1.598496E+01 	 5.377778E+06
1.02500e+01	8.36003e-05 	 18.1 	 2.165064E+05 	 1.857784E+01 	 4.022222E+06
1.00000e+01	8.86720e-05 	 14.1 	 1.59013E+05 	 1.970489E+01 	 3.133333E+06
9.75000e+00	8.51281e-05 	 11.1 	 1.303917E+05 	 1.891736E+01 	 2.466667E+06
9.50000e+00	9.03425e-05 	 8.1 	 8.96588E+04 	 2.007611E+01 	 1.8E+06
9.25000e+00	8.42095e-05 	 6.1 	 7.243838E+04 	 1.871322E+01 	 1.355556E+06
9.00000e+00	9.09283e-05 	 5.1 	 5.608815E+04 	 2.020629E+01 	 1.133333E+06
8.75000e+00	9.05332e-05 	 4.1 	 4.528725E+04 	 2.011849E+01 	 9.111111E+05
8.50000e+00	7.08653e-05 	 3.1 	 4.374496E+04 	 1.574784E+01 	 6.888889E+05
8.25000e+00	3.19393e-05 	 2.1 	 6.574972E+04 	 7.097622E+00 	 4.666667E+05
8.00000e+00	2.92925e-05 	 1.1 	 3.755227E+04 	 6.509444E+00 	 2.444444E+05
7.75000e+00	3.37080e-05 	 1.1 	 3.26332E+04 	 7.490667E+00 	 2.444444E+05
7.50000e+00	3.53179e-05 	 1.1 	 3.114568E+04 	 7.848422E+00 	 2.444444E+05
7.25000e+00	4.37004e-05 	 1.1 	 2.517139E+04 	 9.7112E+00 	 2.444444E+05
7.00000e+00	2.87441e-05 	 0.1 	 3.478975E+03 	 6.387578E+00 	 2.222222E+04
6.75000e+00	4.29899e-05 	 0.1 	 2.326128E+03 	 9.553311E+00 	 2.222222E+04
6.50000e+00	5.03889e-05 	 0.1 	 1.984564E+03 	 1.119753E+01 	 2.222222E+04
6.25000e+00	5.35325e-05 	 0.1 	 1.868024E+03 	 1.189611E+01 	 2.222222E+04
6.00000e+00	5.97345e-05 	 0.1 	 1.674074E+03 	 1.327433E+01 	 2.222222E+04
5.75000e+00	5.43195e-05 	 0.1 	 1.84096E+03 	 1.2071E+01 	 2.222222E+04
5.50000e+00	5.46220e-05 	 0.1 	 1.830764E+03 	 1.213822E+01 	 2.222222E+04
5.25000e+00	6.74592e-05 	 0.1 	 1.482377E+03 	 1.499093E+01 	 2.222222E+04
5.00000e+00	6.02759e-05 	 0.1 	 1.659038E+03 	 1.339464E+01 	 2.222222E+04
4.75000e+00	6.61888e-05 	 0.1 	 1.51083E+03 	 1.470862E+01 	 2.222222E+04
4.50000e+00	7.30636e-05 	 0.1 	 1.368671E+03 	 1.623636E+01 	 2.222222E+04
4.25000e+00	8.44326e-05 	 0.1 	 1.184377E+03 	 1.87628E+01 	 2.222222E+04
4.00000e+00	9.90237e-05 	 0.1 	 1.009859E+03 	 2.200527E+01 	 2.222222E+04
3.75000e+00	8.80052e-05 	 0.1 	 1.136296E+03 	 1.955671E+01 	 2.222222E+04
3.50000e+00	1.28931e-03 	 0.1 	 7.756087E+01 	 2.865133E+02 	 2.222222E+04
3.25000e+00	1.77378e-04 	 0.1 	 5.637678E+02 	 3.941733E+01 	 2.222222E+04
3.00000e+00	1.97643e-04 	 0.1 	 5.059628E+02 	 4.392067E+01 	 2.222222E+04
2.75000e+00	1.61134e-04 	 0.1 	 6.206015E+02 	 3.580756E+01 	 2.222222E+04
2.50000e+00	1.32165e-04 	 0.1 	 7.5663E+02 	 2.937E+01 	 2.222222E+04
2.25000e+00	1.07244e-04 	 0.1 	 9.324531E+02 	 2.3832E+01 	 2.222222E+04
2.00000e+00	8.89960e-05 	 0.1 	 1.123646E+03 	 1.977689E+01 	 2.222222E+04
1.75000e+00	6.79742e-05 	 0.1 	 1.471146E+03 	 1.510538E+01 	 2.222222E+04
1.50000e+00	5.39749e-05 	 0.1 	 1.852713E+03 	 1.199442E+01 	 2.222222E+04
1.25000e+00	4.04390e-05 	 0.1 	 2.47286E+03 	 8.986444E+00 	 2.222222E+04
1.00000e+00	2.83320e-05 	 0.1 	 3.529578E+03 	 6.296E+00 	 2.222222E+04
7.50000e-01	1.91522e-05 	 0.1 	 5.221332E+03 	 4.256044E+00 	 2.222222E+04
5.00000e-01	1.16995e-05 	 0.1 	 8.547374E+03 	 2.599889E+00 	 2.222222E+04
2.50000e-01	5.00540e-06 	 0.1 	 1.997842E+04 	 1.112311E+00 	 2.222222E+04
0.00000e+00	-9.02966e-10 	 0.1 	 -1.107461E+08 	 -2.006591E-04 	 2.222222E+04
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_084.txt
