V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -1.15311e-10 0.1 -8672199.53 1.00000e+01 4.63650e-02 0.0 0.0
5.00000e-01 5.64782e-07 0.1 1770.595 9.50000e+00 3.78817e-02 3523.129 930.035
1.00000e+00 2.29249e-06 0.1 436.207 9.00000e+00 2.94514e-02 2770.103 940.568
1.50000e+00 6.61434e-06 0.1 151.187 8.50000e+00 2.15365e-02 2069.79 961.061
2.00000e+00 1.57886e-05 0.1 63.337 8.00000e+00 1.48002e-02 969.39 654.984
2.50000e+00 3.29872e-05 0.1 30.315 7.50000e+00 9.27664e-03 616.26 664.314
3.00000e+00 6.23236e-05 0.1 16.045 7.00000e+00 5.24917e-03 373.17 710.912
3.50000e+00 1.08941e-04 0.1 9.179 6.50000e+00 2.60440e-03 197.1 756.796
4.00000e+00 1.83559e-04 0.1 5.448 6.00000e+00 1.12696e-03 100.5 891.78
4.50000e+00 3.15330e-04 2.1 66.597 5.50000e+00 4.34513e-04 40.3 927.475
5.00000e+00 5.76273e-04 9.1 157.911 5.00000e+00 1.60340e-04 14.1 879.381
5.50000e+00 1.14669e-03 30.2 263.367 4.50000e+00 6.24622e-05 4.1 656.397
6.00000e+00 2.23581e-03 78.4 350.656 4.00000e+00 3.08465e-05 0.1 32.419
6.50000e+00 4.13422e-03 179.8 434.907 3.50000e+00 1.76545e-05 0.1 56.643
7.00000e+00 6.45888e-03 363.15 562.249 3.00000e+00 1.03782e-05 0.1 96.356
7.50000e+00 1.06232e-02 646.25 608.338 2.50000e+00 5.95575e-06 0.1 167.905
8.00000e+00 1.58305e-02 985.37 622.45 2.00000e+00 3.14579e-06 0.1 317.885
8.50000e+00 2.21460e-02 1430.53 645.954 1.50000e+00 1.50779e-06 0.1 663.222
9.00000e+00 2.92702e-02 1996.72 682.168 1.00000e+00 7.13593e-07 0.1 1401.359
9.50000e+00 3.72832e-02 3301.118 885.417 5.00000e-01 1.60388e-07 0.1 6234.88
1.00000e+01 4.59139e-02 3866.138 842.041 0.00000e+00 -1.81251e-09 0.1 -551721.094
