V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -3.11835e-11 0.1 -32068241.217 1.00000e+01 1.04239e-02 464.18 445.304
5.00000e-01 1.45806e-07 0.1 6858.428 9.50000e+00 8.55612e-03 387.15 452.483
1.00000e+00 4.61215e-07 0.1 2168.186 9.00000e+00 6.84423e-03 0.0 0.0
1.50000e+00 8.33392e-07 0.1 1199.916 8.50000e+00 5.35092e-03 243.1 454.314
2.00000e+00 1.30025e-06 0.1 769.083 8.00000e+00 4.05003e-03 189.8 468.639
2.50000e+00 2.07442e-06 0.1 482.062 7.50000e+00 2.95272e-03 144.6 489.718
3.00000e+00 2.94766e-06 0.1 339.252 7.00000e+00 2.05355e-03 105.5 513.744
3.50000e+00 4.21181e-06 0.1 237.428 6.50000e+00 1.34191e-03 73.4 546.982
4.00000e+00 6.85363e-06 0.1 145.908 6.00000e+00 8.12340e-04 50.3 619.199
4.50000e+00 3.10225e-05 0.1 32.235 5.50000e+00 4.48401e-04 31.2 695.806
5.00000e+00 5.56559e-05 1.1 197.643 5.00000e+00 2.28788e-04 17.1 747.417
5.50000e+00 9.72638e-05 2.1 215.908 4.50000e+00 1.13483e-04 7.1 625.644
6.00000e+00 1.56829e-04 3.1 197.668 4.00000e+00 5.88767e-05 0.1 16.985
6.50000e+00 2.34321e-04 5.1 217.65 3.50000e+00 3.39269e-05 0.1 29.475
7.00000e+00 3.47977e-04 8.1 232.774 3.00000e+00 2.10645e-05 0.1 47.473
7.50000e+00 3.34532e-03 51.3 153.349 2.50000e+00 1.31403e-05 0.1 76.102
8.00000e+00 4.36272e-03 159.7 366.056 2.00000e+00 7.58659e-06 0.1 131.812
8.50000e+00 5.03727e-03 192.8 382.747 1.50000e+00 3.73955e-06 0.1 267.412
9.00000e+00 6.67944e-03 253.1 378.924 1.00000e+00 1.42857e-06 0.1 700.001
9.50000e+00 8.40290e-03 411.16 489.307 5.00000e-01 3.65222e-07 0.1 2738.061
1.00000e+01 1.04111e-02 489.19 469.874 0.00000e+00 -1.89287e-09 0.1 -528298.298
