V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -5.01290e-08 0.1 -19948.533 1.00000e+01 1.16773e-02 412.26 353.044
5.00000e-01 4.38603e-04 0.1 2.28 9.50000e+00 8.81609e-03 286.19 324.622
1.00000e+00 1.72622e-04 0.1 5.793 9.00000e+00 6.23381e-03 190.13 304.998
1.50000e+00 1.17014e-04 0.1 8.546 8.50000e+00 4.07047e-03 123.9 304.387
2.00000e+00 8.89574e-04 0.1 1.124 8.00000e+00 2.42078e-03 73.6 304.034
2.50000e+00 2.86102e-06 0.1 349.526 7.50000e+00 1.29320e-03 40.4 312.403
3.00000e+00 4.57944e-06 0.1 218.367 7.00000e+00 6.15352e-04 19.2 312.017
3.50000e+00 8.65822e-06 0.1 115.497 6.50000e+00 2.70862e-04 8.1 299.045
4.00000e+00 1.33882e-05 0.1 74.693 6.00000e+00 1.16017e-04 3.1 267.202
4.50000e+00 2.32191e-05 0.1 43.068 5.50000e+00 5.34943e-05 1.1 205.629
5.00000e+00 4.20534e-05 0.1 23.779 5.00000e+00 2.96910e-05 0.1 33.68
5.50000e+00 8.62197e-05 0.1 11.598 4.50000e+00 1.79852e-05 0.1 55.601
6.00000e+00 1.83162e-04 2.1 114.653 4.00000e+00 1.12756e-05 0.1 88.687
6.50000e+00 3.87288e-04 5.1 131.685 3.50000e+00 6.88831e-06 0.1 145.173
7.00000e+00 8.02237e-04 12.2 152.075 3.00000e+00 3.92534e-06 0.1 254.755
7.50000e+00 1.53274e-03 27.3 178.112 2.50000e+00 2.06776e-06 0.1 483.615
8.00000e+00 2.65127e-03 51.4 193.869 2.00000e+00 1.00159e-06 0.1 998.413
8.50000e+00 4.22125e-03 165.11 391.14 1.50000e+00 4.17345e-07 0.1 2396.099
9.00000e+00 6.24313e-03 246.16 394.289 1.00000e+00 1.15187e-07 0.1 8681.535
9.50000e+00 8.68985e-03 332.21 382.297 5.00000e-01 3.50949e-08 0.1 28494.169
1.00000e+01 1.15576e-02 422.27 365.361 0.00000e+00 -5.03524e-08 0.1 -19860.027
