dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
4.60000e-05 -4.77938e-04 0 -0E+00 -1.062084E+02 0E+00
7.05940e-02 -4.83993e-04 0 -0E+00 -1.07554E+02 0E+00
1.41095e-01 -4.87697e-04 0 -0E+00 -1.083771E+02 0E+00
2.11580e-01 -4.83149e-04 0 -0E+00 -1.073664E+02 0E+00
2.82029e-01 -4.98062e-04 0 -0E+00 -1.106804E+02 0E+00
3.52480e-01 -4.75804e-04 0 -0E+00 -1.057342E+02 0E+00
4.22943e-01 -4.78708e-04 0 -0E+00 -1.063796E+02 0E+00
4.93400e-01 -4.80962e-04 0 -0E+00 -1.068804E+02 0E+00
5.63849e-01 -4.87035e-04 0 -0E+00 -1.0823E+02 0E+00
6.34310e-01 -4.77695e-04 0 -0E+00 -1.061544E+02 0E+00
7.04767e-01 -4.74013e-04 0 -0E+00 -1.053362E+02 0E+00
7.75222e-01 -4.74477e-04 0 -0E+00 -1.054393E+02 0E+00
8.45685e-01 -4.74673e-04 0 -0E+00 -1.054829E+02 0E+00
9.16145e-01 -4.75735e-04 0 -0E+00 -1.057189E+02 0E+00
9.86609e-01 -4.74284e-04 0 -0E+00 -1.053964E+02 0E+00
1.05704e+00 -4.71770e-04 0 -0E+00 -1.048378E+02 0E+00
1.12751e+00 -4.72739e-04 0 -0E+00 -1.050531E+02 0E+00
1.19796e+00 -4.73018e-04 0 -0E+00 -1.051151E+02 0E+00
1.26840e+00 -4.73967e-04 0 -0E+00 -1.05326E+02 0E+00
1.33884e+00 -4.71617e-04 0 -0E+00 -1.048038E+02 0E+00
1.40929e+00 -4.69871e-04 0 -0E+00 -1.044158E+02 0E+00
1.47975e+00 -4.71200e-04 0 -0E+00 -1.047111E+02 0E+00
1.55020e+00 -4.66102e-04 0 -0E+00 -1.035782E+02 0E+00
1.62067e+00 -4.64815e-04 0 -0E+00 -1.032922E+02 0E+00
1.69114e+00 -4.71740e-04 0 -0E+00 -1.048311E+02 0E+00
1.76161e+00 -4.69791e-04 0 -0E+00 -1.04398E+02 0E+00
1.83206e+00 -4.70698e-04 0 -0E+00 -1.045996E+02 0E+00
1.90253e+00 -4.61031e-04 0 -0E+00 -1.024513E+02 0E+00
1.97299e+00 -4.68138e-04 0 -0E+00 -1.040307E+02 0E+00
2.04346e+00 -4.52289e-04 0 -0E+00 -1.005087E+02 0E+00
2.11396e+00 -4.59514e-04 0 -0E+00 -1.021142E+02 0E+00
2.18446e+00 -4.53311e-04 0 -0E+00 -1.007358E+02 0E+00
2.25493e+00 -4.66831e-04 0 -0E+00 -1.037402E+02 0E+00
2.32538e+00 -4.63608e-04 0 -0E+00 -1.03024E+02 0E+00
2.39584e+00 -4.66286e-04 0 -0E+00 -1.036191E+02 0E+00
2.46630e+00 -4.70780e-04 0 -0E+00 -1.046178E+02 0E+00
2.53675e+00 -4.72784e-04 0 -0E+00 -1.050631E+02 0E+00
2.60719e+00 -4.74860e-04 0 -0E+00 -1.055244E+02 0E+00
2.67764e+00 -4.68016e-04 0 -0E+00 -1.040036E+02 0E+00
2.74809e+00 -4.72275e-04 0 -0E+00 -1.0495E+02 0E+00
2.81854e+00 -4.76534e-04 0 -0E+00 -1.058964E+02 0E+00
2.88899e+00 -4.65339e-04 0 -0E+00 -1.034087E+02 0E+00
2.95945e+00 -4.71931e-04 0 -0E+00 -1.048736E+02 0E+00
3.02991e+00 -4.72078e-04 0 -0E+00 -1.049062E+02 0E+00
3.10037e+00 -4.74334e-04 0 -0E+00 -1.054076E+02 0E+00
3.17081e+00 -4.75761e-04 0 -0E+00 -1.057247E+02 0E+00
3.24125e+00 -4.76856e-04 0 -0E+00 -1.05968E+02 0E+00
3.31169e+00 -4.79375e-04 0 -0E+00 -1.065278E+02 0E+00
3.38214e+00 -4.77863e-04 0 -0E+00 -1.061918E+02 0E+00
3.45258e+00 -4.85688e-04 0 -0E+00 -1.079307E+02 0E+00
3.52303e+00 -4.77664e-04 0 -0E+00 -1.061476E+02 0E+00
3.59349e+00 -4.66339e-04 0 -0E+00 -1.036309E+02 0E+00
3.66395e+00 -4.70449e-04 0 -0E+00 -1.045442E+02 0E+00
3.73440e+00 -4.66675e-04 0 -0E+00 -1.037056E+02 0E+00
3.80486e+00 -4.74452e-04 0 -0E+00 -1.054338E+02 0E+00
3.87533e+00 -4.74168e-04 0 -0E+00 -1.053707E+02 0E+00
3.94577e+00 -4.76089e-04 0 -0E+00 -1.057976E+02 0E+00
4.01623e+00 -4.83766e-04 0 -0E+00 -1.075036E+02 0E+00
4.08670e+00 -4.79339e-04 0 -0E+00 -1.065198E+02 0E+00
4.15728e+00 -4.81181e-04 0 -0E+00 -1.069291E+02 0E+00
4.22783e+00 -4.86618e-04 0 -0E+00 -1.081373E+02 0E+00
4.29840e+00 -4.88010e-04 0 -0E+00 -1.084467E+02 0E+00
4.36893e+00 -4.90311e-04 0 -0E+00 -1.08958E+02 0E+00
4.43951e+00 -4.77382e-04 0 -0E+00 -1.060849E+02 0E+00
4.51008e+00 -4.75878e-04 0 -0E+00 -1.057507E+02 0E+00
4.58066e+00 -4.77163e-04 0 -0E+00 -1.060362E+02 0E+00
4.65121e+00 -4.69113e-04 0 -0E+00 -1.042473E+02 0E+00
4.72177e+00 -4.79083e-04 0 -0E+00 -1.064629E+02 0E+00
4.79233e+00 -4.84685e-04 0 -0E+00 -1.077078E+02 0E+00
4.86286e+00 -4.82512e-04 0 -0E+00 -1.072249E+02 0E+00
4.93342e+00 -4.81087e-04 0 -0E+00 -1.069082E+02 0E+00
5.00397e+00 -4.70823e-04 0 -0E+00 -1.046273E+02 0E+00
5.07455e+00 -4.66644e-04 0 -0E+00 -1.036987E+02 0E+00
5.14510e+00 -4.70673e-04 0 -0E+00 -1.04594E+02 0E+00
5.21567e+00 -4.77293e-04 0 -0E+00 -1.060651E+02 0E+00
5.28623e+00 -4.69204e-04 0 -0E+00 -1.042676E+02 0E+00
