>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-1.28789e-11 	 3.2	-2484684250.984
5.00000e-01	1.18659e-08 	 3.2	2696803.445
1.00000e+00	6.87900e-08 	 3.2	465183.893
1.50000e+00	8.50087e-08 	 3.2	376432.059
2.00000e+00	2.31504e-08 	 3.2	1382265.533
2.50000e+00	8.26273e-08 	 3.2	387281.201
3.00000e+00	3.06237e-07 	 3.2	104494.232
3.50000e+00	1.51915e-06 	 3.2	21064.411
4.00000e+00	9.71099e-06 	 3.2	3295.236
4.50000e+00	4.54965e-05 	 3.2	703.351
5.00000e+00	1.44252e-04 	 4.2	291.157
5.50000e+00	3.40395e-04 	 6.2	182.141
6.00000e+00	6.49795e-04 	 9.2	141.583
6.50000e+00	1.07442e-03 	 23.3	216.861
7.00000e+00	1.61311e-03 	 32.4	200.854
7.50000e+00	2.25474e-03 	 42.5	188.492
8.00000e+00	2.87970e-03 	 47.5	164.948
8.50000e+00	3.25578e-03 	 54.5	167.395
9.00000e+00	4.87987e-03 	 73.6	150.824
9.50000e+00	5.41583e-03 	 77.7	143.468
1.00000e+01	6.56811e-03 	 91.7	139.614
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	6.55064e-03 	 96.8	147.772
9.50000e+00	5.43212e-03 	 81.7	150.402
9.00000e+00	4.40383e-03 	 67.6	153.503
8.50000e+00	3.27945e-03 	 52.5	160.088
8.00000e+00	2.30657e-03 	 38.4	166.481
7.50000e+00	1.25665e-03 	 23.3	185.414
7.00000e+00	8.34563e-04 	 17.3	207.294
6.50000e+00	5.32855e-04 	 9.2	172.655
6.00000e+00	3.17896e-04 	 7.2	226.489
5.50000e+00	1.68152e-04 	 5.2	309.244
5.00000e+00	7.31056e-05 	 4.2	574.511
4.50000e+00	2.37644e-05 	 3.2	1346.552
4.00000e+00	5.40870e-06 	 3.2	5916.394
3.50000e+00	1.12084e-06 	 3.2	28550.016
3.00000e+00	3.31110e-07 	 3.2	96644.62
2.50000e+00	1.50221e-07 	 3.2	213019.485
2.00000e+00	1.02099e-07 	 2.2	215477.135
1.50000e+00	6.13357e-08 	 2.2	358681.812
1.00000e+00	-4.06783e-08 	 2.2	-540828.894
5.00000e-01	-4.89479e-08 	 2.2	-449457.484
0.00000e+00	-5.06033e-08 	 2.2	-434754.255
