VGS(0) IDS(0) IGS(0) VDS(0) VGS(8) IDS(8) IGS(8) VDS(8)
0.00000e+00 -1.37240e-11 -1.36090e-11 1.00000e+00 8.00000e+00 7.42185e-04 7.07829e-04 -1.00000e+00
1.00000e+00 5.07788e-07 5.11590e-07 1.00000e+00 7.00000e+00 5.21750e-04 5.21130e-04 -1.00000e+00
2.00000e+00 8.49668e-06 8.73642e-06 1.00000e+00 6.00000e+00 4.16553e-04 4.17099e-04 -1.00000e+00
3.00000e+00 8.72011e-05 1.15405e-04 1.00000e+00 5.00000e+00 3.15264e-04 3.23597e-04 -1.00000e+00
4.00000e+00 2.65949e-04 2.52454e-04 1.00000e+00 4.00000e+00 3.29169e-04 3.28407e-04 -1.00000e+00
5.00000e+00 1.27096e-03 1.30249e-03 1.00000e+00 3.00000e+00 1.71436e-04 1.70793e-04 -1.00000e+00
6.00000e+00 2.18161e-03 5.66266e-04 1.00000e+00 2.00000e+00 7.96793e-05 7.94715e-05 -1.00000e+00
7.00000e+00 9.89180e-04 9.16975e-04 1.00000e+00 1.00000e+00 2.60069e-05 2.64161e-05 -1.00000e+00
8.00000e+00 9.53244e-04 9.07486e-04 1.00000e+00 0.00000e+00 -2.86687e-08 -2.14550e-08 -1.00000e+00
