V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -2.26229e-11 0.1 -44202997.847 1.00000e+01 1.17772e-02 229.1 194.528
5.00000e-01 5.68506e-08 0.1 17589.964 9.50000e+00 9.40518e-03 0.0 0.0
1.00000e+00 1.40160e-07 0.1 7134.703 9.00000e+00 7.41580e-03 168.8 227.622
1.50000e+00 2.78445e-07 0.1 3591.374 8.50000e+00 5.70752e-03 77.4 135.611
2.00000e+00 5.14502e-07 0.1 1943.627 8.00000e+00 4.31541e-03 52.3 121.194
2.50000e+00 1.02648e-06 0.1 974.203 7.50000e+00 3.20638e-03 34.2 106.662
3.00000e+00 2.48402e-06 0.1 402.573 7.00000e+00 2.33425e-03 22.2 95.105
3.50000e+00 5.91990e-06 0.1 168.922 6.50000e+00 1.66471e-03 14.1 84.699
4.00000e+00 2.01738e-05 0.1 49.569 6.00000e+00 1.15593e-03 9.1 78.724
4.50000e+00 8.58594e-05 0.1 11.647 5.50000e+00 7.78591e-04 5.1 65.503
5.00000e+00 4.23181e-04 1.1 25.994 5.00000e+00 5.07427e-04 3.1 61.093
5.50000e+00 9.13733e-04 3.1 33.927 4.50000e+00 3.15474e-04 1.1 34.868
6.00000e+00 1.64640e-03 5.1 30.977 4.00000e+00 1.85424e-04 0.1 5.393
6.50000e+00 2.35588e-03 9.1 38.627 3.50000e+00 1.01872e-04 0.1 9.816
7.00000e+00 3.23976e-03 15.1 46.608 3.00000e+00 5.12350e-05 0.1 19.518
7.50000e+00 4.25937e-03 24.2 56.816 2.50000e+00 2.32597e-05 0.1 42.993
8.00000e+00 5.46597e-03 37.2 68.057 2.00000e+00 9.17949e-06 0.1 108.939
8.50000e+00 6.88514e-03 55.3 80.318 1.50000e+00 3.01792e-06 0.1 331.354
9.00000e+00 8.50566e-03 81.4 95.701 1.00000e+00 7.71421e-07 0.1 1296.309
9.50000e+00 1.03895e-02 171.8 165.359 5.00000e-01 1.29828e-07 0.1 7702.499
1.00000e+01 1.22550e-02 228.1 186.128 0.00000e+00 -1.02058e-08 0.1 -97983.5
