>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.74792e-08 	 0.1	-26681.466
5.00000e-01	2.34486e-04 	 0.1	4.265
1.00000e+00	2.87755e-05 	 0.1	34.752
1.50000e+00	1.28155e-05 	 0.1	78.031
2.00000e+00	2.34975e-05 	 0.1	42.558
2.50000e+00	1.35807e-05 	 0.1	73.634
3.00000e+00	2.50500e-05 	 0.1	39.92
3.50000e+00	3.96178e-05 	 0.1	25.241
4.00000e+00	6.32878e-05 	 0.1	15.801
4.50000e+00	1.04461e-04 	 0.1	9.573
5.00000e+00	1.69716e-04 	 0.1	5.892
5.50000e+00	2.79579e-04 	 0.1	3.577
6.00000e+00	4.65165e-04 	 1.1	23.648
6.50000e+00	7.52509e-04 	 3.1	41.196
7.00000e+00	1.17466e-03 	 6.1	51.93
7.50000e+00	1.77567e-03 	 12.1	68.143
8.00000e+00	2.81060e-03 	 20.2	71.871
8.50000e+00	4.90249e-03 	 37.3	76.084
9.00000e+00	7.75768e-03 	 134.9	173.892
9.50000e+00	1.10305e-02 	 184.11	166.91
1.00000e+01	1.44856e-02 	 225.14	155.423
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.46615e-02 	 215.13	146.731
9.50000e+00	1.15068e-02 	 0.0	0.0
9.00000e+00	8.32883e-03 	 104.7	125.708
8.50000e+00	5.86408e-03 	 70.5	120.223
8.00000e+00	3.84904e-03 	 45.4	117.951
7.50000e+00	2.32137e-03 	 27.3	117.603
7.00000e+00	1.27842e-03 	 14.2	111.075
6.50000e+00	6.49331e-04 	 7.1	109.343
6.00000e+00	3.29254e-04 	 3.1	94.152
5.50000e+00	1.77688e-04 	 1.1	61.906
5.00000e+00	1.06848e-04 	 0.1	9.359
4.50000e+00	6.79012e-05 	 0.1	14.727
4.00000e+00	4.40863e-05 	 0.1	22.683
3.50000e+00	2.76484e-05 	 0.1	36.168
3.00000e+00	1.64594e-05 	 0.1	60.756
2.50000e+00	9.04095e-06 	 0.1	110.608
2.00000e+00	4.48352e-06 	 0.1	223.039
1.50000e+00	1.85995e-06 	 0.1	537.649
1.00000e+00	5.92404e-07 	 0.1	1688.037
5.00000e-01	9.99317e-08 	 0.1	10006.835
0.00000e+00	-2.18595e-09 	 0.1	-457467.005
