>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.53978e-11 	 0.1	-28250343.242
5.00000e-01	6.07451e-08 	 0.1	16462.233
1.00000e+00	1.47879e-07 	 0.1	6762.285
1.50000e+00	2.84903e-07 	 0.1	3509.967
2.00000e+00	3.81213e-07 	 0.1	2623.205
2.50000e+00	4.84199e-07 	 0.1	2065.267
3.00000e+00	6.71650e-07 	 0.1	1488.871
3.50000e+00	9.42224e-07 	 0.1	1061.319
4.00000e+00	1.78172e-06 	 0.1	561.255
4.50000e+00	9.09091e-06 	 0.0	0.0
5.00000e+00	3.68932e-05 	 3.1	840.263
5.50000e+00	1.14736e-04 	 12.1	1054.595
6.00000e+00	3.00472e-04 	 31.2	1038.366
6.50000e+00	6.93713e-04 	 75.4	1086.905
7.00000e+00	1.41498e-03 	 156.7	1107.436
7.50000e+00	2.60366e-03 	 277.11	1064.309
8.00000e+00	4.30482e-03 	 464.17	1078.256
8.50000e+00	6.52957e-03 	 719.26	1101.543
9.00000e+00	9.31276e-03 	 1060.38	1138.631
9.50000e+00	1.25949e-02 	 1971.68	1565.459
1.00000e+01	1.63133e-02 	 2391.83	1466.184
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.62403e-02 	 2178.77	1341.582
9.50000e+00	1.22457e-02 	 1630.59	1331.561
9.00000e+00	8.69429e-03 	 0.0	0.0
8.50000e+00	5.79901e-03 	 751.29	1295.549
8.00000e+00	3.59185e-03 	 473.19	1317.399
7.50000e+00	2.04974e-03 	 288.12	1405.642
7.00000e+00	1.07260e-03 	 164.7	1535.521
6.50000e+00	5.18227e-04 	 86.4	1667.223
6.00000e+00	2.22560e-04 	 47.3	2125.27
5.50000e+00	8.67238e-05 	 20.2	2329.234
5.00000e+00	3.00217e-05 	 8.1	2698.048
4.50000e+00	8.96577e-06 	 2.1	2342.242
4.00000e+00	3.28591e-06 	 0.1	304.33
3.50000e+00	1.10106e-06 	 0.1	908.216
3.00000e+00	6.90559e-07 	 0.1	1448.102
2.50000e+00	4.64538e-07 	 0.1	2152.676
2.00000e+00	3.03610e-07 	 0.1	3293.699
1.50000e+00	1.50629e-07 	 0.1	6638.828
1.00000e+00	1.25946e-07 	 0.1	7939.911
5.00000e-01	5.18802e-08 	 0.1	19275.176
0.00000e+00	-8.44935e-08 	 0.1	-11835.23
