V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -7.40135e-13 0.1 -1351104866.004 1.00000e+01 -1.42336e-13 0.1 -7025629496.403
5.00000e-01 4.47780e-10 0.1 2233239.537 9.50000e+00 -4.21814e-10 0.1 -2370713.158
1.00000e+00 1.80920e-10 0.1 5527304.886 9.00000e+00 4.84240e-11 0.1 20650916.901
1.50000e+00 1.29342e-10 0.1 7731440.677 8.50000e+00 -9.89712e-09 0.1 -101039.494
2.00000e+00 1.17193e-08 0.1 85329.329 8.00000e+00 -9.23965e-09 0.1 -108229.208
2.50000e+00 1.13933e-08 0.1 87770.883 7.50000e+00 -8.69254e-09 0.1 -115041.173
3.00000e+00 1.17272e-08 0.1 85271.847 7.00000e+00 -9.67293e-09 0.1 -103381.292
3.50000e+00 1.17499e-08 0.1 85107.107 6.50000e+00 -9.70786e-09 0.1 -103009.314
4.00000e+00 1.17242e-08 0.1 85293.666 6.00000e+00 -1.39713e-11 25.2 -18036975800.391
4.50000e+00 1.17518e-08 0.1 85093.347 5.50000e+00 3.41145e-03 36.2 106.113
5.00000e+00 1.17544e-08 0.1 85074.525 5.00000e+00 6.71981e-04 28.2 419.655
5.50000e+00 1.17462e-08 0.1 85133.916 4.50000e+00 3.66692e-04 9.1 248.165
6.00000e+00 1.17777e-08 0.1 84906.221 4.00000e+00 2.15543e-04 0.1 4.639
6.50000e+00 1.17826e-08 0.1 84870.911 3.50000e+00 1.70308e-04 0.1 5.872
7.00000e+00 1.17822e-08 0.1 84873.793 3.00000e+00 7.80395e-05 0.1 12.814
7.50000e+00 1.17980e-08 0.1 84760.129 2.50000e+00 4.30995e-05 0.1 23.202
8.00000e+00 1.18075e-08 0.1 84691.933 2.00000e+00 2.15694e-05 0.1 46.362
8.50000e+00 1.18184e-08 0.1 84613.823 1.50000e+00 9.24409e-06 0.1 108.177
9.00000e+00 1.18264e-08 0.1 84556.585 1.00000e+00 3.10483e-06 0.1 322.079
9.50000e+00 1.18350e-08 0.1 84495.142 5.00000e-01 7.08870e-07 0.1 1410.696
1.00000e+01 1.18330e-08 0.1 84509.423 0.00000e+00 -6.57781e-10 0.1 -1520262.823
