V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 2.23267e-12 0.1 447894225.3 1.00000e+01 1.30468e-02 1789.61 1371.685
5.00000e-01 3.73956e-06 0.1 267.411 9.50000e+00 1.00042e-02 1341.47 1340.907
1.00000e+00 1.58259e-05 0.1 63.188 9.00000e+00 7.38890e-03 949.34 1284.819
1.50000e+00 4.36842e-05 0.1 22.892 8.50000e+00 5.25817e-03 631.23 1200.475
2.00000e+00 1.03449e-04 0.1 9.667 8.00000e+00 3.59386e-03 403.15 1121.774
2.50000e+00 2.21032e-04 0.1 4.524 7.50000e+00 2.36313e-03 253.1 1071.037
3.00000e+00 4.42368e-04 0.1 2.261 7.00000e+00 1.50363e-03 150.6 1001.576
3.50000e+00 7.92542e-04 0.1 1.262 6.50000e+00 9.34464e-04 83.4 892.49
4.00000e+00 1.25064e-03 0.1 0.8 6.00000e+00 5.70366e-04 48.3 846.825
4.50000e+00 1.73038e-03 0.1 0.578 5.50000e+00 3.46666e-04 22.2 640.386
5.00000e+00 2.11315e-03 2.1 9.938 5.00000e+00 2.09934e-04 9.1 433.47
5.50000e+00 2.37301e-03 8.1 34.134 4.50000e+00 1.26800e-04 3.1 244.479
6.00000e+00 2.54208e-03 24.2 95.198 4.00000e+00 7.56442e-05 0.1 13.22
6.50000e+00 2.78957e-03 56.3 201.823 3.50000e+00 4.36469e-05 0.1 22.911
7.00000e+00 3.25613e-03 115.5 354.716 3.00000e+00 2.40309e-05 0.1 41.613
7.50000e+00 4.02990e-03 211.8 525.571 2.50000e+00 1.21630e-05 0.1 82.217
8.00000e+00 5.15434e-03 353.13 685.112 2.00000e+00 5.51463e-06 0.1 181.336
8.50000e+00 6.65763e-03 547.2 821.914 1.50000e+00 2.11970e-06 0.1 471.765
9.00000e+00 8.54231e-03 806.28 943.866 1.00000e+00 6.81903e-07 0.1 1466.484
9.50000e+00 1.07777e-02 1552.53 1440.502 5.00000e-01 1.50158e-07 0.1 6659.652
1.00000e+01 1.33653e-02 1935.65 1448.265 0.00000e+00 -2.12160e-09 0.1 -471342.383
