>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.11835e-11 	 0.1	-32068241.217
5.00000e-01	1.45806e-07 	 0.1	6858.428
1.00000e+00	4.61215e-07 	 0.1	2168.186
1.50000e+00	8.33392e-07 	 0.1	1199.916
2.00000e+00	1.30025e-06 	 0.1	769.083
2.50000e+00	2.07442e-06 	 0.1	482.062
3.00000e+00	2.94766e-06 	 0.1	339.252
3.50000e+00	4.21181e-06 	 0.1	237.428
4.00000e+00	6.85363e-06 	 0.1	145.908
4.50000e+00	3.10225e-05 	 0.1	32.235
5.00000e+00	5.56559e-05 	 1.1	197.643
5.50000e+00	9.72638e-05 	 2.1	215.908
6.00000e+00	1.56829e-04 	 3.1	197.668
6.50000e+00	2.34321e-04 	 5.1	217.65
7.00000e+00	3.47977e-04 	 8.1	232.774
7.50000e+00	3.34532e-03 	 51.3	153.349
8.00000e+00	4.36272e-03 	 159.7	366.056
8.50000e+00	5.03727e-03 	 192.8	382.747
9.00000e+00	6.67944e-03 	 253.1	378.924
9.50000e+00	8.40290e-03 	 411.16	489.307
1.00000e+01	1.04111e-02 	 489.19	469.874
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.04239e-02 	 464.18	445.304
9.50000e+00	8.55612e-03 	 387.15	452.483
9.00000e+00	6.84423e-03 	 0.0	0.0
8.50000e+00	5.35092e-03 	 243.1	454.314
8.00000e+00	4.05003e-03 	 189.8	468.639
7.50000e+00	2.95272e-03 	 144.6	489.718
7.00000e+00	2.05355e-03 	 105.5	513.744
6.50000e+00	1.34191e-03 	 73.4	546.982
6.00000e+00	8.12340e-04 	 50.3	619.199
5.50000e+00	4.48401e-04 	 31.2	695.806
5.00000e+00	2.28788e-04 	 17.1	747.417
4.50000e+00	1.13483e-04 	 7.1	625.644
4.00000e+00	5.88767e-05 	 0.1	16.985
3.50000e+00	3.39269e-05 	 0.1	29.475
3.00000e+00	2.10645e-05 	 0.1	47.473
2.50000e+00	1.31403e-05 	 0.1	76.102
2.00000e+00	7.58659e-06 	 0.1	131.812
1.50000e+00	3.73955e-06 	 0.1	267.412
1.00000e+00	1.42857e-06 	 0.1	700.001
5.00000e-01	3.65222e-07 	 0.1	2738.061
0.00000e+00	-1.89287e-09 	 0.1	-528298.298
