>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-1.36771e-11 	 0.1	-73114914.711
5.00000e-01	5.93107e-08 	 0.1	16860.364
1.00000e+00	1.50597e-07 	 0.1	6640.239
1.50000e+00	3.43280e-07 	 0.1	2913.074
2.00000e+00	4.98207e-07 	 0.1	2007.198
2.50000e+00	6.84573e-07 	 0.1	1460.765
3.00000e+00	9.40932e-07 	 0.1	1062.776
3.50000e+00	1.22681e-06 	 0.1	815.122
4.00000e+00	1.98494e-06 	 0.1	503.794
4.50000e+00	3.41369e-06 	 0.1	292.938
5.00000e+00	5.85702e-06 	 0.1	170.735
5.50000e+00	9.66751e-06 	 0.1	103.439
6.00000e+00	1.47904e-05 	 0.1	67.611
6.50000e+00	2.16867e-05 	 0.1	46.111
7.00000e+00	3.07971e-05 	 0.1	32.471
7.50000e+00	4.23043e-05 	 0.1	23.638
8.00000e+00	5.69154e-05 	 1.1	193.269
8.50000e+00	7.81283e-05 	 1.1	140.794
9.00000e+00	1.01492e-04 	 1.1	108.383
9.50000e+00	1.41843e-04 	 0.0	0.0
1.00000e+01	1.64939e-04 	 2.1	127.32
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.67568e-04 	 0.0	0.0
9.50000e+00	1.34520e-04 	 2.1	156.111
9.00000e+00	1.06221e-04 	 2.1	197.701
8.50000e+00	8.26496e-05 	 1.1	133.092
8.00000e+00	6.23273e-05 	 1.1	176.488
7.50000e+00	4.60675e-05 	 0.1	21.707
7.00000e+00	3.35200e-05 	 0.1	29.833
6.50000e+00	2.36544e-05 	 0.1	42.275
6.00000e+00	1.60910e-05 	 0.1	62.147
5.50000e+00	1.04504e-05 	 0.1	95.69
5.00000e+00	6.43005e-06 	 0.1	155.52
4.50000e+00	3.75628e-06 	 0.1	266.221
4.00000e+00	2.14857e-06 	 0.1	465.426
3.50000e+00	1.30797e-06 	 0.0	0.0
3.00000e+00	9.61809e-07 	 0.1	1039.707
2.50000e+00	5.98516e-07 	 0.1	1670.799
2.00000e+00	4.02177e-07 	 0.1	2486.467
1.50000e+00	2.11233e-07 	 0.1	4734.109
1.00000e+00	1.54384e-07 	 0.1	6477.355
5.00000e-01	6.02022e-08 	 0.1	16610.689
0.00000e+00	-7.74268e-08 	 0.1	-12915.425
