VGS(1) IDS(1) IGS(1) VDS(1) VGS(10) IDS(10) IGS(10) VDS(10)
1.00000e+00 8.05433e-08 8.02026e-08 5.00000e-01 1.00000e+01 1.79273e-03 1.79064e-03 -5.00000e-01
1.50000e+00 1.46459e-07 1.38615e-07 5.00000e-01 9.50000e+00 1.16631e-03 1.15858e-03 -5.00000e-01
2.00000e+00 2.65313e-07 1.98548e-07 5.00000e-01 9.00000e+00 7.12248e-04 7.09626e-04 -5.00000e-01
2.50000e+00 3.15783e-07 2.67253e-07 5.00000e-01 8.50000e+00 4.22709e-04 4.18564e-04 -5.00000e-01
3.00000e+00 4.33538e-07 3.67585e-07 5.00000e-01 8.00000e+00 2.38702e-04 2.35670e-04 -5.00000e-01
3.50000e+00 5.87473e-07 5.15760e-07 5.00000e-01 7.50000e+00 1.28831e-04 1.26640e-04 -5.00000e-01
4.00000e+00 8.17823e-07 7.33976e-07 5.00000e-01 7.00000e+00 6.49133e-05 6.45197e-05 -5.00000e-01
4.50000e+00 1.24549e-06 1.23475e-06 5.00000e-01 6.50000e+00 3.28367e-05 3.18493e-05 -5.00000e-01
5.00000e+00 2.41930e-06 2.41372e-06 5.00000e-01 6.00000e+00 1.57330e-05 1.52032e-05 -5.00000e-01
5.50000e+00 5.31837e-06 5.52299e-06 5.00000e-01 5.50000e+00 7.15444e-06 7.06072e-06 -5.00000e-01
6.00000e+00 1.33109e-05 1.35660e-05 5.00000e-01 5.00000e+00 3.43902e-06 3.39828e-06 -5.00000e-01
6.50000e+00 2.95684e-05 3.09556e-05 5.00000e-01 4.50000e+00 1.62974e-06 1.68724e-06 -5.00000e-01
7.00000e+00 6.49310e-05 6.71975e-05 5.00000e-01 4.00000e+00 8.94977e-07 9.00885e-07 -5.00000e-01
7.50000e+00 1.36142e-04 1.36999e-04 5.00000e-01 3.50000e+00 4.68717e-07 5.41562e-07 -5.00000e-01
8.00000e+00 2.54446e-04 2.58819e-04 5.00000e-01 3.00000e+00 2.88205e-07 3.66863e-07 -5.00000e-01
8.50000e+00 4.56848e-04 4.62320e-04 5.00000e-01 2.50000e+00 1.73733e-07 2.72197e-07 -5.00000e-01
9.00000e+00 7.72474e-04 7.79357e-04 5.00000e-01 2.00000e+00 1.33769e-07 1.78658e-07 -5.00000e-01
9.50000e+00 1.23475e-03 1.23800e-03 5.00000e-01 1.50000e+00 1.35068e-07 1.35719e-07 -5.00000e-01
1.00000e+01 1.83567e-03 1.84245e-03 5.00000e-01 1.00000e+00 8.37280e-08 8.44128e-08 -5.00000e-01
