V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 3.41403e-11 0.1 29290896.682 1.00000e+01 5.28799e-11 407.65 77089782696.261
5.00000e-01 4.61527e-10 0.1 2166720.474 9.50000e+00 8.60753e-05 411.66 47825.567
1.00000e+00 1.81051e-10 0.1 5523305.588 9.00000e+00 2.29308e-06 413.66 1803949.273
1.50000e+00 1.32585e-10 0.1 7542331.335 8.50000e+00 1.04243e-06 416.66 3997006.993
2.00000e+00 1.16643e-08 0.1 85731.677 8.00000e+00 1.39053e-06 417.67 3003674.858
2.50000e+00 1.13196e-08 0.1 88342.344 7.50000e+00 1.04431e-06 418.67 4009058.613
3.00000e+00 1.16314e-08 0.1 85974.173 7.00000e+00 6.52171e-07 418.67 6419635.341
3.50000e+00 1.16316e-08 0.1 85972.695 6.50000e+00 5.86349e-07 417.66 7123061.521
4.00000e+00 1.16261e-08 0.1 86013.366 6.00000e+00 3.59597e-10 417.66 11614668642.953
4.50000e+00 1.15750e-08 0.1 86393.089 5.50000e+00 4.75360e-07 418.67 8807430.158
5.00000e+00 1.18452e-08 0.0 0.0 5.00000e+00 3.55216e-07 418.67 11786349.714
5.50000e+00 1.16068e-08 0.1 86156.391 4.50000e+00 1.09162e-07 417.67 38261482.934
6.00000e+00 1.16239e-08 0.1 86029.646 4.00000e+00 -2.11561e-11 412.66 -195054854155.539
6.50000e+00 1.15434e-08 0.1 86629.589 3.50000e+00 -5.06933e-10 0.0 -0.0
7.00000e+00 1.15294e-08 0.1 86734.782 3.00000e+00 -2.33570e-10 422.67 -18096073982.104
7.50000e+00 1.19290e-08 0.1 83829.323 2.50000e+00 -9.97656e-09 424.67 -425667765.242
8.00000e+00 1.18138e-08 0.1 84646.769 2.00000e+00 -9.10351e-09 424.68 -466501382.434
8.50000e+00 1.15811e-08 0.1 86347.584 1.50000e+00 -2.30098e-10 426.68 -18543403245.574
9.00000e+00 1.17005e-08 0.1 85466.433 1.00000e+00 -1.06946e-08 429.69 -401782207.843
9.50000e+00 1.14339e-08 0.1 87459.222 5.00000e-01 -1.04542e-08 426.69 -408151747.623
1.00000e+01 1.19624e-08 187.3 156573931.653 0.00000e+00 8.94862e-11 264.42 29548690189.102
