VGS(0) IDS(0) IGS(0) VDS(0) VGS(15) IDS(15) IGS(15) VDS(15)
1.20000e+01 9.99970e-02 9.99971e-02 2.50000e-01 3.00000e+00 4.51917e-02 4.52602e-02 -2.50000e-01
1.22500e+01 9.99971e-02 9.99971e-02 2.50000e-01 2.75000e+00 4.12196e-02 4.12165e-02 -2.50000e-01
1.25000e+01 9.99968e-02 9.99970e-02 2.50000e-01 2.50000e+00 3.73596e-02 3.73951e-02 -2.50000e-01
1.27500e+01 9.99969e-02 9.99970e-02 2.50000e-01 2.25000e+00 3.41747e-02 3.44058e-02 -2.50000e-01
1.30000e+01 9.99968e-02 9.99970e-02 2.50000e-01 2.00000e+00 3.13443e-02 3.13773e-02 -2.50000e-01
1.32500e+01 9.99969e-02 9.99970e-02 2.50000e-01 1.75000e+00 2.74770e-02 2.74910e-02 -2.50000e-01
1.35000e+01 9.99970e-02 9.99970e-02 2.50000e-01 1.50000e+00 2.35242e-02 2.33386e-02 -2.50000e-01
1.37500e+01 9.99970e-02 9.99972e-02 2.50000e-01 1.25000e+00 1.91172e-02 1.91192e-02 -2.50000e-01
1.40000e+01 9.99970e-02 9.99970e-02 2.50000e-01 1.00000e+00 1.52549e-02 1.52879e-02 -2.50000e-01
1.42500e+01 9.99969e-02 9.99970e-02 2.50000e-01 7.50000e-01 1.18972e-02 1.19111e-02 -2.50000e-01
1.45000e+01 9.99969e-02 9.99970e-02 2.50000e-01 5.00000e-01 7.87694e-03 7.87945e-03 -2.50000e-01
1.47500e+01 9.99969e-02 9.99970e-02 2.50000e-01 2.50000e-01 3.92630e-03 3.92918e-03 -2.50000e-01
1.50000e+01 9.99971e-02 9.99971e-02 2.50000e-01 0.00000e+00 -1.42906e-06 -1.15663e-06 -2.50000e-01
