>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.44379e-11 	 0.1	-29037775.242
5.00000e-01	1.04089e-07 	 0.1	9607.163
1.00000e+00	3.63373e-07 	 0.1	2751.993
1.50000e+00	5.81116e-07 	 0.1	1720.827
2.00000e+00	8.65017e-07 	 0.1	1156.047
2.50000e+00	1.02874e-06 	 0.1	972.063
3.00000e+00	1.92568e-06 	 0.1	519.297
3.50000e+00	6.47912e-06 	 0.1	154.342
4.00000e+00	2.31362e-05 	 0.1	43.222
4.50000e+00	5.79365e-05 	 1.1	189.863
5.00000e+00	1.86164e-04 	 6.1	327.668
5.50000e+00	3.48704e-04 	 19.1	547.742
6.00000e+00	7.95294e-04 	 50.3	632.471
6.50000e+00	1.59464e-03 	 111.5	699.217
7.00000e+00	2.87448e-03 	 203.8	708.998
7.50000e+00	4.66849e-03 	 341.12	730.686
8.00000e+00	6.91634e-03 	 518.18	749.211
8.50000e+00	9.56573e-03 	 726.25	759.221
9.00000e+00	1.25426e-02 	 1247.41	994.539
9.50000e+00	1.58092e-02 	 1509.5	954.824
1.00000e+01	1.92961e-02 	 1735.57	899.441
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.92606e-02 	 0.0	0.0
9.50000e+00	1.55509e-02 	 1584.53	1018.931
9.00000e+00	1.20776e-02 	 1265.43	1047.75
8.50000e+00	8.95092e-03 	 703.25	785.673
8.00000e+00	6.23935e-03 	 496.18	795.243
7.50000e+00	4.01580e-03 	 335.13	834.529
7.00000e+00	2.33610e-03 	 210.9	902.787
6.50000e+00	1.20985e-03 	 120.5	995.991
6.00000e+00	5.56418e-04 	 66.3	1191.55
5.50000e+00	2.26317e-04 	 31.2	1378.597
5.00000e+00	8.64770e-05 	 12.1	1399.216
4.50000e+00	3.33522e-05 	 4.1	1229.304
4.00000e+00	2.20584e-05 	 0.1	45.334
3.50000e+00	6.22008e-05 	 0.1	16.077
3.00000e+00	1.56187e-03 	 0.1	0.64
2.50000e+00	2.99491e-04 	 0.1	3.339
2.00000e+00	1.67208e-04 	 0.1	5.981
1.50000e+00	1.00293e-04 	 0.1	9.971
1.00000e+00	5.30857e-05 	 0.1	18.837
5.00000e-01	2.08178e-05 	 0.1	48.036
0.00000e+00	-5.86143e-09 	 0.1	-170606.831
