V(0) I(0) lux CurrCoeff. V(12) I(12) lux CurrCoeff.
0.00000e+00 2.75743e-13 180.93 6561544626699.499 1.20000e+01 -2.24775e-11 179.93 -80048937826.716
5.00000e-01 4.33408e-10 180.93 4174588378.618 1.15000e+01 -4.40266e-10 178.92 -4063906819.968
1.00000e+00 1.71312e-10 180.93 10561431773.606 1.10000e+01 -2.19809e-10 179.93 -8185743076.944
1.50000e+00 1.23882e-10 180.93 14605027364.75 1.05000e+01 -9.95603e-09 180.93 -181729062.689
2.00000e+00 1.15258e-08 180.93 156978257.475 1.00000e+01 -9.97623e-09 179.93 -180358712.66
2.50000e+00 1.11833e-08 180.93 161785877.156 9.50000e+00 -9.96635e-09 179.93 -180537508.717
3.00000e+00 1.14979e-08 180.93 157359169.935 9.00000e+00 -9.97705e-09 180.93 -181346189.505
3.50000e+00 1.15056e-08 180.93 157253858.99 8.50000e+00 -9.97541e-09 179.93 -180373538.531
4.00000e+00 1.14948e-08 180.93 157401607.683 8.00000e+00 -9.97305e-09 179.93 -180416221.718
4.50000e+00 1.15009e-08 180.93 157318122.93 7.50000e+00 -9.92122e-09 179.93 -181358744.187
5.00000e+00 1.14969e-08 180.93 157372857.031 7.00000e+00 -9.97268e-09 179.93 -180422915.405
5.50000e+00 1.14916e-08 180.93 157445438.407 6.50000e+00 -9.96542e-09 179.93 -180554356.966
6.00000e+00 1.14948e-08 180.93 157401607.683 6.00000e+00 -9.98625e-09 179.93 -180177744.399
6.50000e+00 1.15010e-08 180.93 157316755.065 5.50000e+00 -9.97423e-09 179.93 -180394877.6
7.00000e+00 1.14976e-08 180.93 157363275.814 5.00000e+00 -9.97214e-09 179.93 -180432685.462
7.50000e+00 1.14954e-08 180.93 157393392.139 4.50000e+00 -9.97518e-09 179.93 -180377697.445
8.00000e+00 1.15040e-08 179.93 156406467.316 4.00000e+00 -9.97974e-09 179.93 -180295278.234
8.50000e+00 1.15033e-08 179.93 156415984.978 3.50000e+00 -9.97907e-09 179.93 -180307383.353
9.00000e+00 1.13847e-08 179.92 158036663.241 3.00000e+00 -9.97848e-09 179.93 -180318044.432
9.50000e+00 1.15008e-08 172.91 150346062.883 2.50000e+00 -9.97836e-09 179.93 -180320212.941
1.00000e+01 1.14689e-08 171.9 149883598.253 2.00000e+00 -9.06912e-09 179.93 -198398521.577
1.05000e+01 1.15131e-08 169.9 147571027.786 1.50000e+00 -9.99914e-09 179.93 -179945475.311
1.10000e+01 1.14442e-08 171.9 150207091.802 1.00000e+00 -9.99750e-09 179.92 -179964991.248
1.15000e+01 1.15947e-08 175.9 151707245.552 5.00000e-01 -1.88971e-10 178.92 -9468119446.899
1.20000e+01 1.15615e-08 176.91 153016477.101 0.00000e+00 -1.92854e-11 178.92 -92774845219.7
