>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
7.10000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.20000e+00	9.99972e-02 	 0 	 0E+00 	 2.22216E+04 	 0E+00
7.30000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.40000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.50000e+00	9.99975e-02 	 0 	 0E+00 	 2.222167E+04 	 0E+00
7.60000e+00	9.99976e-02 	 0 	 0E+00 	 2.222169E+04 	 0E+00
7.70000e+00	9.99976e-02 	 0 	 0E+00 	 2.222169E+04 	 0E+00
7.80000e+00	9.99975e-02 	 0 	 0E+00 	 2.222167E+04 	 0E+00
7.90000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
8.00000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
8.10000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
8.00000e+00	9.99978e-02 	 0 	 0E+00 	 2.222173E+04 	 0E+00
7.90000e+00	9.99976e-02 	 0 	 0E+00 	 2.222169E+04 	 0E+00
7.80000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
7.70000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
7.60000e+00	9.99983e-02 	 0 	 0E+00 	 2.222184E+04 	 0E+00
7.50000e+00	9.99979e-02 	 0 	 0E+00 	 2.222176E+04 	 0E+00
7.40000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
7.30000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
7.20000e+00	9.99981e-02 	 0 	 0E+00 	 2.22218E+04 	 0E+00
7.10000e+00	9.99980e-02 	 0 	 0E+00 	 2.222178E+04 	 0E+00
7.00000e+00	9.99982e-02 	 0 	 0E+00 	 2.222182E+04 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_093.txt
