>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
2.50000e-01	9.83817e-08 	 0 	 0E+00 	 2.18626E-02 	 0E+00
5.00000e-01	1.96997e-07 	 0 	 0E+00 	 4.377711E-02 	 0E+00
7.50000e-01	2.99990e-07 	 0 	 0E+00 	 6.666444E-02 	 0E+00
1.00000e+00	4.02929e-07 	 0 	 0E+00 	 8.953978E-02 	 0E+00
1.25000e+00	5.07434e-07 	 0 	 0E+00 	 1.127631E-01 	 0E+00
1.50000e+00	6.13616e-07 	 0 	 0E+00 	 1.363591E-01 	 0E+00
1.75000e+00	7.22315e-07 	 0 	 0E+00 	 1.605144E-01 	 0E+00
2.00000e+00	8.34417e-07 	 0 	 0E+00 	 1.85426E-01 	 0E+00
2.25000e+00	9.51101e-07 	 0 	 0E+00 	 2.113558E-01 	 0E+00
2.50000e+00	1.07821e-06 	 0 	 0E+00 	 2.396022E-01 	 0E+00
2.75000e+00	1.20675e-06 	 0 	 0E+00 	 2.681667E-01 	 0E+00
3.00000e+00	1.34911e-06 	 0 	 0E+00 	 2.998022E-01 	 0E+00
3.25000e+00	4.29645e-05 	 0 	 0E+00 	 9.547667E+00 	 0E+00
3.50000e+00	4.54461e-05 	 0 	 0E+00 	 1.009913E+01 	 0E+00
3.75000e+00	6.50930e-05 	 0 	 0E+00 	 1.446511E+01 	 0E+00
4.00000e+00	1.06194e-04 	 0 	 0E+00 	 2.359867E+01 	 0E+00
4.25000e+00	1.22968e-04 	 0 	 0E+00 	 2.732622E+01 	 0E+00
4.50000e+00	1.89357e-05 	 0 	 0E+00 	 4.207933E+00 	 0E+00
4.75000e+00	2.43625e-05 	 0 	 0E+00 	 5.413889E+00 	 0E+00
5.00000e+00	3.76468e-05 	 0 	 0E+00 	 8.365956E+00 	 0E+00
5.25000e+00	2.99132e-05 	 0 	 0E+00 	 6.647378E+00 	 0E+00
5.50000e+00	2.21648e-05 	 0 	 0E+00 	 4.925511E+00 	 0E+00
5.75000e+00	3.45489e-05 	 0 	 0E+00 	 7.677533E+00 	 0E+00
6.00000e+00	4.33905e-05 	 0 	 0E+00 	 9.642333E+00 	 0E+00
6.25000e+00	4.91318e-05 	 0 	 0E+00 	 1.091818E+01 	 0E+00
6.50000e+00	7.67094e-05 	 0 	 0E+00 	 1.704653E+01 	 0E+00
6.75000e+00	1.13970e-05 	 0 	 0E+00 	 2.532667E+00 	 0E+00
7.00000e+00	1.21366e-05 	 0 	 0E+00 	 2.697022E+00 	 0E+00
7.25000e+00	1.22590e-05 	 0 	 0E+00 	 2.724222E+00 	 0E+00
7.50000e+00	2.19821e-05 	 0 	 0E+00 	 4.884911E+00 	 0E+00
7.75000e+00	1.73207e-05 	 0 	 0E+00 	 3.849044E+00 	 0E+00
8.00000e+00	1.90232e-05 	 0 	 0E+00 	 4.227378E+00 	 0E+00
8.25000e+00	1.91051e-05 	 0 	 0E+00 	 4.245578E+00 	 0E+00
8.50000e+00	1.98615e-05 	 0 	 0E+00 	 4.413667E+00 	 0E+00
8.75000e+00	2.12017e-05 	 0 	 0E+00 	 4.711489E+00 	 0E+00
9.00000e+00	2.49314e-05 	 0 	 0E+00 	 5.540311E+00 	 0E+00
9.25000e+00	2.94706e-05 	 0 	 0E+00 	 6.549022E+00 	 0E+00
9.50000e+00	2.95314e-05 	 0 	 0E+00 	 6.562533E+00 	 0E+00
9.75000e+00	3.13786e-05 	 0 	 0E+00 	 6.973022E+00 	 0E+00
1.00000e+01	3.39438e-05 	 0 	 0E+00 	 7.543067E+00 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_078.txt
