>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
4.50000e-05	5.69942e-03 	 0 	 0E+00 	 1.266538E+03	0E+00
7.04780e-02	5.67571e-03 	 0 	 0E+00 	 1.261269E+03	0E+00
1.40859e-01	5.65565e-03 	 0 	 0E+00 	 1.256811E+03	0E+00
2.11209e-01	5.64353e-03 	 0 	 0E+00 	 1.254118E+03	0E+00
2.81574e-01	5.63302e-03 	 0 	 0E+00 	 1.251782E+03	0E+00
3.51909e-01	5.62430e-03 	 0 	 0E+00 	 1.249844E+03	0E+00
4.22249e-01	5.61545e-03 	 0 	 0E+00 	 1.247878E+03	0E+00
4.92603e-01	5.60996e-03 	 0 	 0E+00 	 1.246658E+03	0E+00
5.62933e-01	5.60321e-03 	 0 	 0E+00 	 1.245158E+03	0E+00
6.33287e-01	5.59918e-03 	 0 	 0E+00 	 1.244262E+03	0E+00
7.03612e-01	5.59525e-03 	 0 	 0E+00 	 1.243389E+03	0E+00
7.73944e-01	5.59040e-03 	 0 	 0E+00 	 1.242311E+03	0E+00
8.44276e-01	5.58451e-03 	 0 	 0E+00 	 1.241002E+03	0E+00
9.14625e-01	5.58036e-03 	 0 	 0E+00 	 1.24008E+03	0E+00
9.84976e-01	5.57604e-03 	 0 	 0E+00 	 1.23912E+03	0E+00
1.05532e+00	5.57351e-03 	 0 	 0E+00 	 1.238558E+03	0E+00
1.12565e+00	5.57058e-03 	 0 	 0E+00 	 1.237907E+03	0E+00
1.19600e+00	5.56770e-03 	 0 	 0E+00 	 1.237267E+03	0E+00
1.26635e+00	5.56468e-03 	 0 	 0E+00 	 1.236596E+03	0E+00
1.33670e+00	5.56262e-03 	 0 	 0E+00 	 1.236138E+03	0E+00
1.40703e+00	5.56112e-03 	 0 	 0E+00 	 1.235804E+03	0E+00
1.47738e+00	5.55932e-03 	 0 	 0E+00 	 1.235404E+03	0E+00
1.54772e+00	5.55718e-03 	 0 	 0E+00 	 1.234929E+03	0E+00
1.61807e+00	5.55590e-03 	 0 	 0E+00 	 1.234644E+03	0E+00
1.68841e+00	5.55347e-03 	 0 	 0E+00 	 1.234104E+03	0E+00
1.75875e+00	5.55228e-03 	 0 	 0E+00 	 1.23384E+03	0E+00
1.82908e+00	5.54941e-03 	 0 	 0E+00 	 1.233202E+03	0E+00
1.89941e+00	5.54747e-03 	 0 	 0E+00 	 1.232771E+03	0E+00
1.96980e+00	5.54643e-03 	 0 	 0E+00 	 1.23254E+03	0E+00
2.04025e+00	5.54632e-03 	 0 	 0E+00 	 1.232516E+03	0E+00
2.11072e+00	5.54380e-03 	 0 	 0E+00 	 1.231956E+03	0E+00
2.18118e+00	5.54265e-03 	 0 	 0E+00 	 1.2317E+03	0E+00
2.25164e+00	5.54062e-03 	 0 	 0E+00 	 1.231249E+03	0E+00
2.32209e+00	5.53954e-03 	 0 	 0E+00 	 1.231009E+03	0E+00
2.39256e+00	5.53798e-03 	 0 	 0E+00 	 1.230662E+03	0E+00
2.46298e+00	5.53644e-03 	 0 	 0E+00 	 1.23032E+03	0E+00
2.53343e+00	5.53551e-03 	 0 	 0E+00 	 1.230113E+03	0E+00
2.60386e+00	5.53456e-03 	 0 	 0E+00 	 1.229902E+03	0E+00
2.67432e+00	5.53410e-03 	 0 	 0E+00 	 1.2298E+03	0E+00
2.74477e+00	5.53213e-03 	 0 	 0E+00 	 1.229362E+03	0E+00
2.81520e+00	5.53057e-03 	 0 	 0E+00 	 1.229016E+03	0E+00
2.88564e+00	5.52972e-03 	 0 	 0E+00 	 1.228827E+03	0E+00
2.95609e+00	5.52770e-03 	 0 	 0E+00 	 1.228378E+03	0E+00
3.02652e+00	5.52750e-03 	 0 	 0E+00 	 1.228333E+03	0E+00
3.09694e+00	5.52586e-03 	 0 	 0E+00 	 1.227969E+03	0E+00
3.16737e+00	5.52461e-03 	 0 	 0E+00 	 1.227691E+03	0E+00
3.23784e+00	5.51938e-03 	 0 	 0E+00 	 1.226529E+03	0E+00
3.30830e+00	5.51235e-03 	 0 	 0E+00 	 1.224967E+03	0E+00
3.37888e+00	5.51008e-03 	 0 	 0E+00 	 1.224462E+03	0E+00
3.44932e+00	5.50935e-03 	 0 	 0E+00 	 1.2243E+03	0E+00
3.51978e+00	5.50755e-03 	 0 	 0E+00 	 1.2239E+03	0E+00
3.59020e+00	5.50661e-03 	 0 	 0E+00 	 1.223691E+03	0E+00
3.66065e+00	5.50638e-03 	 0 	 0E+00 	 1.22364E+03	0E+00
3.73110e+00	5.50444e-03 	 0 	 0E+00 	 1.223209E+03	0E+00
3.80156e+00	5.50446e-03 	 0 	 0E+00 	 1.223213E+03	0E+00
3.87199e+00	5.50223e-03 	 0 	 0E+00 	 1.222718E+03	0E+00
3.94244e+00	5.50251e-03 	 0 	 0E+00 	 1.22278E+03	0E+00
4.01286e+00	5.50257e-03 	 0 	 0E+00 	 1.222793E+03	0E+00
4.08328e+00	5.49763e-03 	 0 	 0E+00 	 1.221696E+03	0E+00
4.15373e+00	5.49688e-03 	 0 	 0E+00 	 1.221529E+03	0E+00
4.22416e+00	5.49495e-03 	 0 	 0E+00 	 1.2211E+03	0E+00
4.29457e+00	5.49362e-03 	 0 	 0E+00 	 1.220804E+03	0E+00
4.36503e+00	5.49373e-03 	 0 	 0E+00 	 1.220829E+03	0E+00
4.43549e+00	5.49332e-03 	 0 	 0E+00 	 1.220738E+03	0E+00
4.50591e+00	5.49307e-03 	 0 	 0E+00 	 1.220682E+03	0E+00
4.57633e+00	5.49280e-03 	 0 	 0E+00 	 1.220622E+03	0E+00
4.64680e+00	5.49229e-03 	 0 	 0E+00 	 1.220509E+03	0E+00
4.71723e+00	5.49101e-03 	 0 	 0E+00 	 1.220224E+03	0E+00
4.78766e+00	5.49010e-03 	 0 	 0E+00 	 1.220022E+03	0E+00
4.85810e+00	5.48828e-03 	 0 	 0E+00 	 1.219618E+03	0E+00
4.92856e+00	5.48754e-03 	 0 	 0E+00 	 1.219453E+03	0E+00
4.99900e+00	5.48751e-03 	 0 	 0E+00 	 1.219447E+03	0E+00
5.06946e+00	5.48595e-03 	 0 	 0E+00 	 1.2191E+03	0E+00
5.13992e+00	5.48460e-03 	 0 	 0E+00 	 1.2188E+03	0E+00
5.21035e+00	5.48333e-03 	 0 	 0E+00 	 1.218518E+03	0E+00
5.28081e+00	5.48160e-03 	 0 	 0E+00 	 1.218133E+03	0E+00
5.35126e+00	5.48143e-03 	 0 	 0E+00 	 1.218096E+03	0E+00
5.42171e+00	5.48002e-03 	 0 	 0E+00 	 1.217782E+03	0E+00
5.49217e+00	5.47912e-03 	 0 	 0E+00 	 1.217582E+03	0E+00
5.56259e+00	5.47907e-03 	 0 	 0E+00 	 1.217571E+03	0E+00
5.63305e+00	5.47800e-03 	 0 	 0E+00 	 1.217333E+03	0E+00
5.70351e+00	5.47732e-03 	 0 	 0E+00 	 1.217182E+03	0E+00
5.77397e+00	5.47701e-03 	 0 	 0E+00 	 1.217113E+03	0E+00
5.84443e+00	5.47589e-03 	 0 	 0E+00 	 1.216864E+03	0E+00
5.91488e+00	5.47486e-03 	 0 	 0E+00 	 1.216636E+03	0E+00
5.98533e+00	5.47355e-03 	 0 	 0E+00 	 1.216344E+03	0E+00
6.05578e+00	5.47279e-03 	 0 	 0E+00 	 1.216176E+03	0E+00
6.12625e+00	5.47288e-03 	 0 	 0E+00 	 1.216196E+03	0E+00
6.19666e+00	5.47044e-03 	 0 	 0E+00 	 1.215653E+03	0E+00
6.26711e+00	5.46963e-03 	 0 	 0E+00 	 1.215473E+03	0E+00
6.33757e+00	5.46862e-03 	 0 	 0E+00 	 1.215249E+03	0E+00
6.40801e+00	5.46845e-03 	 0 	 0E+00 	 1.215211E+03	0E+00
6.47847e+00	5.46775e-03 	 0 	 0E+00 	 1.215056E+03	0E+00
6.54891e+00	5.46640e-03 	 0 	 0E+00 	 1.214756E+03	0E+00
6.61937e+00	5.46532e-03 	 0 	 0E+00 	 1.214516E+03	0E+00
6.68982e+00	5.46460e-03 	 0 	 0E+00 	 1.214356E+03	0E+00
6.76028e+00	5.46329e-03 	 0 	 0E+00 	 1.214064E+03	0E+00
6.83073e+00	5.46190e-03 	 0 	 0E+00 	 1.213756E+03	0E+00
6.90119e+00	5.46080e-03 	 0 	 0E+00 	 1.213511E+03	0E+00
6.97162e+00	5.45987e-03 	 0 	 0E+00 	 1.213304E+03	0E+00
7.04207e+00	5.45941e-03 	 0 	 0E+00 	 1.213202E+03	0E+00
7.11253e+00	5.45792e-03 	 0 	 0E+00 	 1.212871E+03	0E+00
7.18298e+00	5.45765e-03 	 0 	 0E+00 	 1.212811E+03	0E+00
7.25339e+00	5.45629e-03 	 0 	 0E+00 	 1.212509E+03	0E+00
7.32381e+00	5.45564e-03 	 0 	 0E+00 	 1.212364E+03	0E+00
7.39426e+00	5.45513e-03 	 0 	 0E+00 	 1.212251E+03	0E+00
7.46473e+00	5.45418e-03 	 0 	 0E+00 	 1.21204E+03	0E+00
7.53519e+00	5.45437e-03 	 0 	 0E+00 	 1.212082E+03	0E+00
7.60565e+00	5.45433e-03 	 0 	 0E+00 	 1.212073E+03	0E+00
7.67611e+00	5.45206e-03 	 0 	 0E+00 	 1.211569E+03	0E+00
7.74657e+00	5.45123e-03 	 0 	 0E+00 	 1.211384E+03	0E+00
7.81703e+00	5.45037e-03 	 0 	 0E+00 	 1.211193E+03	0E+00
7.88750e+00	5.44926e-03 	 0 	 0E+00 	 1.210947E+03	0E+00
7.95794e+00	5.44859e-03 	 0 	 0E+00 	 1.210798E+03	0E+00
8.02840e+00	5.44856e-03 	 0 	 0E+00 	 1.210791E+03	0E+00
8.09885e+00	5.44722e-03 	 0 	 0E+00 	 1.210493E+03	0E+00
8.16926e+00	5.44706e-03 	 0 	 0E+00 	 1.210458E+03	0E+00
8.23972e+00	5.44617e-03 	 0 	 0E+00 	 1.21026E+03	0E+00
8.31017e+00	5.44465e-03 	 0 	 0E+00 	 1.209922E+03	0E+00
8.38062e+00	5.44371e-03 	 0 	 0E+00 	 1.209713E+03	0E+00
8.45107e+00	5.44126e-03 	 0 	 0E+00 	 1.209169E+03	0E+00
8.52151e+00	5.44085e-03 	 0 	 0E+00 	 1.209078E+03	0E+00
8.59195e+00	5.43990e-03 	 0 	 0E+00 	 1.208867E+03	0E+00
8.66238e+00	5.43809e-03 	 0 	 0E+00 	 1.208464E+03	0E+00
8.73285e+00	5.43751e-03 	 0 	 0E+00 	 1.208336E+03	0E+00
8.80330e+00	5.43725e-03 	 0 	 0E+00 	 1.208278E+03	0E+00
8.87376e+00	5.43674e-03 	 0 	 0E+00 	 1.208164E+03	0E+00
8.94418e+00	5.43572e-03 	 0 	 0E+00 	 1.207938E+03	0E+00
9.01465e+00	5.43567e-03 	 0 	 0E+00 	 1.207927E+03	0E+00
9.08512e+00	5.43480e-03 	 0 	 0E+00 	 1.207733E+03	0E+00
9.15559e+00	5.43423e-03 	 0 	 0E+00 	 1.207607E+03	0E+00
9.22604e+00	5.43467e-03 	 0 	 0E+00 	 1.207704E+03	0E+00
9.29650e+00	5.43358e-03 	 0 	 0E+00 	 1.207462E+03	0E+00
9.36694e+00	5.43273e-03 	 0 	 0E+00 	 1.207273E+03	0E+00
9.43738e+00	5.43211e-03 	 0 	 0E+00 	 1.207136E+03	0E+00
9.50784e+00	5.43059e-03 	 0 	 0E+00 	 1.206798E+03	0E+00
9.57824e+00	5.43046e-03 	 0 	 0E+00 	 1.206769E+03	0E+00
9.64868e+00	5.42961e-03 	 0 	 0E+00 	 1.20658E+03	0E+00
9.71913e+00	5.42818e-03 	 0 	 0E+00 	 1.206262E+03	0E+00
9.78956e+00	5.42714e-03 	 0 	 0E+00 	 1.206031E+03	0E+00
9.86004e+00	5.42708e-03 	 0 	 0E+00 	 1.206018E+03	0E+00
9.93049e+00	5.42672e-03 	 0 	 0E+00 	 1.205938E+03	0E+00
1.00009e+01	5.42637e-03 	 0 	 0E+00 	 1.20586E+03	0E+00
1.00714e+01	5.42659e-03 	 0 	 0E+00 	 1.205909E+03	0E+00
1.01418e+01	5.42470e-03 	 0 	 0E+00 	 1.205489E+03	0E+00
1.02123e+01	5.42397e-03 	 0 	 0E+00 	 1.205327E+03	0E+00
1.02828e+01	5.42386e-03 	 0 	 0E+00 	 1.205302E+03	0E+00
1.03532e+01	5.42221e-03 	 0 	 0E+00 	 1.204936E+03	0E+00
1.04236e+01	5.42070e-03 	 0 	 0E+00 	 1.2046E+03	0E+00
1.04941e+01	5.42044e-03 	 0 	 0E+00 	 1.204542E+03	0E+00
1.05645e+01	5.41970e-03 	 0 	 0E+00 	 1.204378E+03	0E+00
1.06350e+01	5.41932e-03 	 0 	 0E+00 	 1.204293E+03	0E+00
1.07054e+01	5.41940e-03 	 0 	 0E+00 	 1.204311E+03	0E+00
1.07759e+01	5.41792e-03 	 0 	 0E+00 	 1.203982E+03	0E+00
1.08463e+01	5.41680e-03 	 0 	 0E+00 	 1.203733E+03	0E+00
1.09168e+01	5.41656e-03 	 0 	 0E+00 	 1.20368E+03	0E+00
1.09873e+01	5.41601e-03 	 0 	 0E+00 	 1.203558E+03	0E+00
1.10577e+01	5.41591e-03 	 0 	 0E+00 	 1.203536E+03	0E+00
1.11282e+01	5.41426e-03 	 0 	 0E+00 	 1.203169E+03	0E+00
1.11986e+01	5.41373e-03 	 0 	 0E+00 	 1.203051E+03	0E+00
1.12691e+01	5.41374e-03 	 0 	 0E+00 	 1.203053E+03	0E+00
1.13396e+01	5.41170e-03 	 0 	 0E+00 	 1.2026E+03	0E+00
1.14100e+01	5.41036e-03 	 0 	 0E+00 	 1.202302E+03	0E+00
1.14805e+01	5.40896e-03 	 0 	 0E+00 	 1.201991E+03	0E+00
1.15509e+01	5.40815e-03 	 0 	 0E+00 	 1.201811E+03	0E+00
