dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
4.50000e-05 3.24536e-03 0.01 3.081322E-02 7.211911E+02 2.222222E+03 100.0
1.02036e+00 2.76632e-03 49.3 1.782151E+02 6.147378E+02 1.095556E+07 493000.0
2.04076e+00 2.67814e-03 44.3 1.654133E+02 5.951422E+02 9.844444E+06 443000.0
3.06116e+00 2.62648e-03 40.3 1.534373E+02 5.836622E+02 8.955556E+06 403000.0
4.08162e+00 2.60143e-03 39.3 1.510708E+02 5.780956E+02 8.733333E+06 393000.0
5.10211e+00 2.56400e-03 38.3 1.49376E+02 5.697778E+02 8.511111E+06 383000.0
6.12259e+00 2.54192e-03 36.3 1.428054E+02 5.648711E+02 8.066667E+06 363000.0
7.18335e+00 2.50579e-03 35.3 1.408737E+02 5.568422E+02 7.844444E+06 353000.0
8.20381e+00 2.46621e-03 34.2 1.386743E+02 5.480467E+02 7.6E+06 342000.0
9.22429e+00 2.44938e-03 34.2 1.396272E+02 5.443067E+02 7.6E+06 342000.0
1.02448e+01 2.41961e-03 33.2 1.372122E+02 5.376911E+02 7.377778E+06 332000.0
1.12652e+01 2.35134e-03 31.2 1.326903E+02 5.2252E+02 6.933333E+06 312000.0
1.22857e+01 2.22397e-03 29.2 1.312967E+02 4.942156E+02 6.488889E+06 292000.0
1.33062e+01 2.07720e-03 27.2 1.309455E+02 4.616E+02 6.044444E+06 272000.0
1.43267e+01 2.09099e-03 27.2 1.300819E+02 4.646644E+02 6.044444E+06 272000.0
1.53471e+01 2.10167e-03 27.2 1.294209E+02 4.670378E+02 6.044444E+06 272000.0
1.63676e+01 2.09608e-03 27.2 1.29766E+02 4.657956E+02 6.044444E+06 272000.0
1.73881e+01 2.10819e-03 26.2 1.242772E+02 4.684867E+02 5.822222E+06 262000.0
1.84086e+01 2.10242e-03 26.2 1.246183E+02 4.672044E+02 5.822222E+06 262000.0
1.94290e+01 2.10420e-03 26.2 1.245129E+02 4.676E+02 5.822222E+06 262000.0
2.04495e+01 2.10123e-03 26.2 1.246889E+02 4.6694E+02 5.822222E+06 262000.0
2.14700e+01 2.09398e-03 26.2 1.251206E+02 4.653289E+02 5.822222E+06 262000.0
2.25307e+01 2.06954e-03 25.2 1.217662E+02 4.598978E+02 5.6E+06 252000.0
2.35512e+01 1.96737e-03 23.2 1.179239E+02 4.371933E+02 5.155556E+06 232000.0
2.45716e+01 1.96838e-03 23.2 1.178634E+02 4.374178E+02 5.155556E+06 232000.0
2.55921e+01 1.91861e-03 23.2 1.209209E+02 4.263578E+02 5.155556E+06 232000.0
2.66126e+01 1.93494e-03 23.2 1.199004E+02 4.299867E+02 5.155556E+06 232000.0
2.76330e+01 1.88293e-03 22.2 1.179014E+02 4.184289E+02 4.933333E+06 222000.0
2.86535e+01 1.88730e-03 22.2 1.176284E+02 4.194E+02 4.933333E+06 222000.0
2.96740e+01 1.89289e-03 22.2 1.17281E+02 4.206422E+02 4.933333E+06 222000.0
3.06945e+01 1.86903e-03 21.2 1.134278E+02 4.1534E+02 4.711111E+06 212000.0
3.17150e+01 1.84983e-03 22.2 1.20011E+02 4.110733E+02 4.933333E+06 222000.0
3.27354e+01 1.93942e-03 22.2 1.144672E+02 4.309822E+02 4.933333E+06 222000.0
3.37559e+01 1.97655e-03 23.2 1.173762E+02 4.392333E+02 5.155556E+06 232000.0
3.47764e+01 2.01700e-03 23.2 1.150223E+02 4.482222E+02 5.155556E+06 232000.0
3.57969e+01 2.03394e-03 23.2 1.140643E+02 4.519867E+02 5.155556E+06 232000.0
3.68174e+01 2.03889e-03 23.2 1.137874E+02 4.530867E+02 5.155556E+06 232000.0
3.78781e+01 2.05493e-03 23.2 1.128992E+02 4.566511E+02 5.155556E+06 232000.0
3.88986e+01 2.07129e-03 23.2 1.120075E+02 4.602867E+02 5.155556E+06 232000.0
3.99190e+01 2.08710e-03 23.2 1.11159E+02 4.638E+02 5.155556E+06 232000.0
4.09395e+01 2.06145e-03 23.2 1.125421E+02 4.581E+02 5.155556E+06 232000.0
4.19600e+01 2.06080e-03 23.2 1.125776E+02 4.579556E+02 5.155556E+06 232000.0
4.29805e+01 2.01698e-03 23.2 1.150235E+02 4.482178E+02 5.155556E+06 232000.0
4.40009e+01 2.05339e-03 22.2 1.081139E+02 4.563089E+02 4.933333E+06 222000.0
4.50214e+01 2.09494e-03 22.2 1.059696E+02 4.655422E+02 4.933333E+06 222000.0
4.60419e+01 2.11440e-03 23.2 1.097238E+02 4.698667E+02 5.155556E+06 232000.0
4.70624e+01 2.13652e-03 23.2 1.085878E+02 4.747822E+02 5.155556E+06 232000.0
