>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-1.10916e-11 	 0.1 	 -1.10916E-10 	 -2.4648E-06 	 2.222222E+04
5.00000e-01	1.13636e-07 	 0.1 	 1.13636E-06 	 2.525244E-02 	 2.222222E+04
1.00000e+00	2.59160e-07 	 0.1 	 2.5916E-06 	 5.759111E-02 	 2.222222E+04
1.50000e+00	4.55588e-07 	 0.1 	 4.55588E-06 	 1.012418E-01 	 2.222222E+04
2.00000e+00	7.08905e-07 	 0.1 	 7.08905E-06 	 1.575344E-01 	 2.222222E+04
2.50000e+00	1.01237e-06 	 0.1 	 1.01237E-05 	 2.249711E-01 	 2.222222E+04
3.00000e+00	1.39357e-06 	 0.1 	 1.39357E-05 	 3.096822E-01 	 2.222222E+04
3.50000e+00	1.80103e-06 	 0.1 	 1.80103E-05 	 4.002289E-01 	 2.222222E+04
4.00000e+00	2.57922e-06 	 0.1 	 2.57922E-05 	 5.7316E-01 	 2.222222E+04
4.50000e+00	4.04344e-06 	 0.1 	 4.04344E-05 	 8.985422E-01 	 2.222222E+04
5.00000e+00	5.98798e-06 	 1.1 	 5.443618E-06 	 1.330662E+00 	 2.444444E+05
5.50000e+00	9.60267e-06 	 2.1 	 4.5727E-06 	 2.133927E+00 	 4.666667E+05
6.00000e+00	1.51819e-05 	 5.1 	 2.976843E-06 	 3.373756E+00 	 1.133333E+06
6.50000e+00	2.44447e-05 	 9.1 	 2.686231E-06 	 5.432156E+00 	 2.022222E+06
7.00000e+00	3.84868e-05 	 15.2 	 2.532026E-06 	 8.552622E+00 	 3.377778E+06
7.50000e+00	5.81867e-05 	 25.2 	 2.308996E-06 	 1.293038E+01 	 5.6E+06
8.00000e+00	8.74287e-05 	 40.3 	 2.169447E-06 	 1.94286E+01 	 8.955556E+06
8.50000e+00	1.27575e-04 	 60.4 	 2.112169E-06 	 2.835E+01 	 1.342222E+07
9.00000e+00	1.83681e-04 	 89.6 	 2.050011E-06 	 4.0818E+01 	 1.991111E+07
9.50000e+00	2.62224e-04 	 128.8 	 2.035901E-06 	 5.8272E+01 	 2.862222E+07
1.00000e+01	3.62739e-04 	 179.11 	 2.02523E-06 	 8.060867E+01 	 3.980222E+07
1.05000e+01	4.99391e-04 	 244.15 	 2.045427E-06 	 1.109758E+02 	 5.425556E+07
1.10000e+01	6.76721e-04 	 325.19 	 2.081002E-06 	 1.503824E+02 	 7.226444E+07
1.15000e+01	9.06349e-04 	 423.25 	 2.141403E-06 	 2.014109E+02 	 9.405556E+07
1.20000e+01	1.20652e-03 	 540.31 	 2.233014E-06 	 2.681156E+02 	 1.200689E+08
1.25000e+01	1.58741e-03 	 678.38 	 2.340001E-06 	 3.527578E+02 	 1.507511E+08
1.30000e+01	2.06606e-03 	 835.47 	 2.472931E-06 	 4.591244E+02 	 1.8566E+08
1.35000e+01	2.66205e-03 	 1013.57 	 2.62641E-06 	 5.915667E+02 	 2.252378E+08
1.40000e+01	3.39674e-03 	 1211.67 	 2.803354E-06 	 7.548311E+02 	 2.6926E+08
1.45000e+01	4.29589e-03 	 1425.79 	 3.012989E-06 	 9.546422E+02 	 3.168422E+08
1.50000e+01	5.38098e-03 	 1651.92 	 3.25741E-06 	 1.195773E+03 	 3.670933E+08
1.55000e+01	6.67797e-03 	 1884.106 	 3.544371E-06 	 1.483993E+03 	 4.186902E+08
1.60000e+01	8.20526e-03 	 2113.119 	 3.883009E-06 	 1.823391E+03 	 4.69582E+08
1.65000e+01	9.97389e-03 	 2324.133 	 4.291445E-06 	 2.21642E+03 	 5.16474E+08
1.70000e+01	1.19418e-02 	 2497.145 	 4.782181E-06 	 2.653733E+03 	 5.549211E+08
1.75000e+01	1.40241e-02 	 2608.154 	 5.377021E-06 	 3.116467E+03 	 5.795898E+08
1.80000e+01	1.60861e-02 	 2637.16 	 6.099782E-06 	 3.574689E+03 	 5.860356E+08
1.85000e+01	1.79044e-02 	 2573.161 	 6.958134E-06 	 3.978756E+03 	 5.718136E+08
1.90000e+01	1.92811e-02 	 2430.158 	 7.934093E-06 	 4.284689E+03 	 5.400351E+08
1.95000e+01	2.02077e-02 	 2240.152 	 9.020683E-06 	 4.4906E+03 	 4.978116E+08
2.00000e+01	2.07553e-02 	 2037.144 	 1.018843E-05 	 4.612289E+03 	 4.526987E+08
2.00000e+01	1.81707e-02 	 1631.121 	 1.114001E-05 	 4.037933E+03 	 3.624713E+08
1.95000e+01	1.35904e-02 	 1170.91 	 1.16067E-05 	 3.020089E+03 	 2.602022E+08
1.90000e+01	1.01217e-02 	 863.69 	 1.171914E-05 	 2.249267E+03 	 1.919311E+08
1.85000e+01	7.45200e-03 	 644.53 	 1.156191E-05 	 1.656E+03 	 1.432289E+08
1.80000e+01	5.52537e-03 	 480.4 	 1.15016E-05 	 1.22786E+03 	 1.067556E+08
1.75000e+01	4.04392e-03 	 356.3 	 1.134976E-05 	 8.986489E+02 	 7.917778E+07
1.70000e+01	2.93470e-03 	 262.23 	 1.119132E-05 	 6.521556E+02 	 5.827333E+07
1.65000e+01	2.11382e-03 	 192.17 	 1.099974E-05 	 4.697378E+02 	 4.270444E+07
1.60000e+01	1.50935e-03 	 140.12 	 1.077184E-05 	 3.354111E+02 	 3.113778E+07
1.55000e+01	1.07042e-03 	 101.9 	 1.050461E-05 	 2.378711E+02 	 2.264444E+07
1.50000e+01	7.51124e-04 	 73.7 	 1.019164E-05 	 1.669164E+02 	 1.637778E+07
1.45000e+01	5.25460e-04 	 52.5 	 1.000876E-05 	 1.167689E+02 	 1.166667E+07
1.40000e+01	3.64246e-04 	 37.4 	 9.739198E-06 	 8.094356E+01 	 8.311111E+06
1.35000e+01	2.50603e-04 	 27.3 	 9.179597E-06 	 5.568956E+01 	 6.066667E+06
1.30000e+01	1.71178e-04 	 19.2 	 8.915521E-06 	 3.803956E+01 	 4.266667E+06
1.25000e+01	1.16327e-04 	 14.2 	 8.192042E-06 	 2.585044E+01 	 3.155556E+06
1.20000e+01	7.86528e-05 	 10.1 	 7.787406E-06 	 1.74784E+01 	 2.244444E+06
1.15000e+01	5.32308e-05 	 7.1 	 7.497296E-06 	 1.182907E+01 	 1.577778E+06
1.10000e+01	3.61101e-05 	 5.1 	 7.080412E-06 	 8.024467E+00 	 1.133333E+06
1.05000e+01	2.46939e-05 	 4.1 	 6.022902E-06 	 5.487533E+00 	 9.111111E+05
1.00000e+01	1.71302e-05 	 3.1 	 5.525871E-06 	 3.806711E+00 	 6.888889E+05
9.50000e+00	1.21139e-05 	 2.1 	 5.768524E-06 	 2.691978E+00 	 4.666667E+05
9.00000e+00	8.76989e-06 	 2.1 	 4.176138E-06 	 1.948864E+00 	 4.666667E+05
8.50000e+00	6.51129e-06 	 1.1 	 5.919355E-06 	 1.446953E+00 	 2.444444E+05
8.00000e+00	4.92901e-06 	 1.1 	 4.480918E-06 	 1.095336E+00 	 2.444444E+05
7.50000e+00	3.78991e-06 	 1.1 	 3.445373E-06 	 8.422022E-01 	 2.444444E+05
7.00000e+00	2.96228e-06 	 0.1 	 2.96228E-05 	 6.582844E-01 	 2.222222E+04
6.50000e+00	2.35019e-06 	 0.1 	 2.35019E-05 	 5.222644E-01 	 2.222222E+04
6.00000e+00	1.88319e-06 	 0.1 	 1.88319E-05 	 4.184867E-01 	 2.222222E+04
5.50000e+00	1.51646e-06 	 0.1 	 1.51646E-05 	 3.369911E-01 	 2.222222E+04
5.00000e+00	1.22142e-06 	 0.1 	 1.22142E-05 	 2.714267E-01 	 2.222222E+04
4.50000e+00	9.86893e-07 	 0.1 	 9.86893E-06 	 2.193096E-01 	 2.222222E+04
4.00000e+00	8.13488e-07 	 0.1 	 8.13488E-06 	 1.807751E-01 	 2.222222E+04
3.50000e+00	6.87339e-07 	 0.1 	 6.87339E-06 	 1.52742E-01 	 2.222222E+04
3.00000e+00	5.79963e-07 	 0.1 	 5.79963E-06 	 1.288807E-01 	 2.222222E+04
2.50000e+00	4.73170e-07 	 0.1 	 4.7317E-06 	 1.051489E-01 	 2.222222E+04
2.00000e+00	3.72251e-07 	 0.1 	 3.72251E-06 	 8.272244E-02 	 2.222222E+04
1.50000e+00	2.74964e-07 	 0.1 	 2.74964E-06 	 6.110311E-02 	 2.222222E+04
1.00000e+00	1.78901e-07 	 0.1 	 1.78901E-06 	 3.975578E-02 	 2.222222E+04
5.00000e-01	8.57194e-08 	 0.1 	 8.57194E-07 	 1.904876E-02 	 2.222222E+04
0.00000e+00	-6.50976e-11 	 0.1 	 -6.50976E-10 	 -1.446613E-05 	 2.222222E+04
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_G7_PT5100_P1_oled_000.txt
