dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
5.00000e-05 3.29305e-03 123.6 3.753359E+02 7.317889E+02 2.746667E+07 100.0
1.20344e-01 3.17921e-03 0.01 3.145436E-02 7.064911E+02 2.222222E+03 0.008
2.40625e-01 3.11281e-03 113.5 3.646223E+02 6.917356E+02 2.522222E+07 91.828
3.60920e-01 3.07207e-03 107.5 3.499269E+02 6.826822E+02 2.388889E+07 86.974
4.81190e-01 3.04754e-03 101.5 3.330555E+02 6.772311E+02 2.255556E+07 82.12
6.01448e-01 3.02192e-03 0.01 3.309154E-02 6.715378E+02 2.222222E+03 0.008
7.21712e-01 3.00034e-03 97.5 3.249632E+02 6.667422E+02 2.166667E+07 78.883
8.41995e-01 2.98448e-03 0.01 3.350667E-02 6.632178E+02 2.222222E+03 0.008
9.62262e-01 2.96678e-03 94.5 3.185272E+02 6.592844E+02 2.1E+07 76.456
1.08252e+00 2.95505e-03 91.5 3.096394E+02 6.566778E+02 2.033333E+07 74.029
1.20278e+00 2.94231e-03 87.4 2.970455E+02 6.538467E+02 1.942222E+07 70.712
1.32306e+00 2.93011e-03 0.01 3.412841E-02 6.511356E+02 2.222222E+03 0.008
1.44332e+00 2.92456e-03 86.4 2.954291E+02 6.499022E+02 1.92E+07 69.903
1.56357e+00 2.90709e-03 84.4 2.903247E+02 6.4602E+02 1.875556E+07 68.285
1.68383e+00 2.87879e-03 83.4 2.89705E+02 6.397311E+02 1.853333E+07 67.476
1.80410e+00 2.86577e-03 0.01 3.489464E-02 6.368378E+02 2.222222E+03 0.008
1.92436e+00 2.85245e-03 82.4 2.888745E+02 6.338778E+02 1.831111E+07 66.667
2.04465e+00 2.84422e-03 81.4 2.861945E+02 6.320489E+02 1.808889E+07 65.858
2.16501e+00 2.82664e-03 80.4 2.844366E+02 6.281422E+02 1.786667E+07 65.049
2.28539e+00 2.81604e-03 0.01 3.551086E-02 6.257867E+02 2.222222E+03 0.008
2.40573e+00 2.81427e-03 78.4 2.785802E+02 6.253933E+02 1.742222E+07 63.43
2.52608e+00 2.79664e-03 77.4 2.767607E+02 6.214756E+02 1.72E+07 62.621
2.64643e+00 2.78074e-03 76.4 2.74747E+02 6.179422E+02 1.697778E+07 61.812
2.76679e+00 2.76955e-03 0.01 3.610695E-02 6.154556E+02 2.222222E+03 0.008
2.88713e+00 2.76018e-03 75.4 2.731706E+02 6.133733E+02 1.675556E+07 61.003
3.00748e+00 2.74166e-03 73.4 2.67721E+02 6.092578E+02 1.631111E+07 59.385
3.12782e+00 2.72732e-03 73.4 2.691287E+02 6.060711E+02 1.631111E+07 59.385
3.24819e+00 2.72980e-03 0.01 3.663272E-02 6.066222E+02 2.222222E+03 0.008
3.36853e+00 2.71630e-03 71.4 2.628576E+02 6.036222E+02 1.586667E+07 57.767
3.48887e+00 2.65544e-03 70.4 2.651161E+02 5.900978E+02 1.564444E+07 56.958
3.60921e+00 2.63747e-03 69.4 2.63131E+02 5.861044E+02 1.542222E+07 56.149
3.72957e+00 2.65495e-03 0.01 3.766549E-02 5.899889E+02 2.222222E+03 0.008
3.84992e+00 2.67057e-03 68.4 2.561251E+02 5.9346E+02 1.52E+07 55.34
3.97027e+00 2.65416e-03 67.4 2.53941E+02 5.898133E+02 1.497778E+07 54.531
4.09063e+00 2.66004e-03 66.4 2.496203E+02 5.9112E+02 1.475556E+07 53.722
4.21098e+00 2.67058e-03 0.01 3.744505E-02 5.934622E+02 2.222222E+03 0.008
4.33132e+00 2.68099e-03 65.4 2.439397E+02 5.957756E+02 1.453333E+07 52.913
4.45167e+00 2.68504e-03 64.4 2.398475E+02 5.966756E+02 1.431111E+07 52.104
4.57203e+00 2.68295e-03 63.4 2.363071E+02 5.962111E+02 1.408889E+07 51.294
4.69244e+00 2.64695e-03 0.01 3.777933E-02 5.882111E+02 2.222222E+03 0.008
4.81278e+00 2.66097e-03 63.3 2.378832E+02 5.913267E+02 1.406667E+07 51.214
4.93313e+00 2.66428e-03 62.3 2.338343E+02 5.920622E+02 1.384444E+07 50.405
5.05349e+00 2.66604e-03 61.3 2.29929E+02 5.924533E+02 1.362222E+07 49.595
5.17384e+00 2.68276e-03 0.01 3.727505E-02 5.961689E+02 2.222222E+03 0.008
5.29419e+00 2.67967e-03 60.3 2.250277E+02 5.954822E+02 1.34E+07 48.786
5.41452e+00 2.68235e-03 59.3 2.210748E+02 5.960778E+02 1.317778E+07 47.977
5.53489e+00 2.67756e-03 58.3 2.177356E+02 5.950133E+02 1.295556E+07 47.168
5.65523e+00 2.67586e-03 0.01 3.737116E-02 5.946356E+02 2.222222E+03 0.008
5.77559e+00 2.68147e-03 57.3 2.136888E+02 5.958822E+02 1.273333E+07 46.359
5.89593e+00 2.66835e-03 56.3 2.109918E+02 5.929667E+02 1.251111E+07 45.55
6.01629e+00 2.67531e-03 55.3 2.06705E+02 5.945133E+02 1.228889E+07 44.741
6.13664e+00 2.66801e-03 0.01 3.748112E-02 5.928911E+02 2.222222E+03 0.008
6.25698e+00 2.66987e-03 53.3 1.996352E+02 5.933044E+02 1.184444E+07 43.123
6.37734e+00 2.67261e-03 54.3 2.031722E+02 5.939133E+02 1.206667E+07 43.932
6.49770e+00 2.66683e-03 56.3 2.111121E+02 5.926289E+02 1.251111E+07 45.55
6.61805e+00 2.66836e-03 0.01 3.74762E-02 5.929689E+02 2.222222E+03 0.008
6.73841e+00 2.66868e-03 54.3 2.034714E+02 5.9304E+02 1.206667E+07 43.932
6.85875e+00 2.67117e-03 53.3 1.99538E+02 5.935933E+02 1.184444E+07 43.123
6.97911e+00 2.67007e-03 52.3 1.95875E+02 5.933489E+02 1.162222E+07 42.314
7.09945e+00 2.66471e-03 0.01 3.752754E-02 5.921578E+02 2.222222E+03 0.008
7.21980e+00 2.66486e-03 52.3 1.96258E+02 5.921911E+02 1.162222E+07 42.314
7.34015e+00 2.65134e-03 51.3 1.934871E+02 5.891867E+02 1.14E+07 41.505
7.46050e+00 2.65857e-03 51.3 1.929609E+02 5.907933E+02 1.14E+07 41.505
7.58085e+00 2.64837e-03 0.01 3.775907E-02 5.885267E+02 2.222222E+03 0.008
