>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 0.0
0.00000e+00	1.65958e-06	1.76426e-06	1.00000e+01 	 0.0
1.00000e+01	1.01003e-01	1.01004e-01	1.00000e+01 	 0.0
2.00000e+01	9.94692e-02	9.94748e-02	1.00000e+01 	 0.0
3.00000e+01	9.95002e-02	9.95216e-02	1.00000e+01 	 0.0
4.00000e+01	9.95079e-02	9.95082e-02	1.00000e+01 	 0.0
5.00000e+01	9.95001e-02	9.94878e-02	1.00000e+01 	 0.0
>>head<<VGS(50) IDS(50) IGS(50) VDS(50) 	 0.0
5.00000e+01	9.95028e-02	9.94964e-02	-1.00000e+01 	 0.0
4.00000e+01	9.94930e-02	9.95033e-02	-1.00000e+01 	 0.0
3.00000e+01	9.94813e-02	9.95147e-02	-1.00000e+01 	 0.0
2.00000e+01	9.94756e-02	9.94877e-02	-1.00000e+01 	 0.0
1.00000e+01	9.94958e-02	9.94925e-02	-1.00000e+01 	 0.0
0.00000e+00	1.64981e-06	1.97137e-06	-1.00000e+01 	 0.0
>>END<< 	 0.0
